"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code"
AT ,Y17,wastes from surface treatment,A1050,-,H11,electroplating sludge,1535.5,.,DE, ,R4
AT ,Y17,wastes from surface treatment,A1050,-,H13,electroplating sludge,35.8,.,DE, ,R4
AT ,Y17,wastes from surface treatment,-,-,H12,sludge from pc-treatment,3.2,.,DE, ,R4
AT ,Y17,waste from surface treatment,-,-,H12,metal bearing concentrates,13.4,-,DE,,R4
AT ,Y17,wastes from surface treatment,A1050,-,H11,sludge from pc-treatment,44.6,.,DE, ,R4
AT ,Y17,wastes from surface treatment,A1060,8,H8,used flux,74.4,-,DE,,R4
AT ,Y17,wastes from surface treatment,A1130,8,H8,etching solutions,940.8,-,DE,,R4
AT ,Y17,wastes from surface treatment,-,-,H13,ginding sludge,3629.9,-,DE,,R4
AT ,Y17,wastes from surface treatment,A1060,8,H8,etching solutions,141.3,-,DE,,R4
AT ,Y18,wastes from waste treatment,-,-,H13,sludges from shredding plants,159.6,DE,BE,,R4
AT ,Y18,wastes from waste treatment,A4100,-,H11,ash from heavy oil incineration,21.5,DE,BE,,R4
AT ,Y18,wastes from waste treatment,A4010,-,H12,unsorted medicines,71.0,-,CH,D10,
AT ,Y18,wastes from waste treatment,-,-,H13,shredding residues,1311.2,-,CH,,R1
AT ,Y18,wastes from waste treatment,-,-,H13,shredding residues,428.5,-,CH,D10, 
AT ,Y18,wastes from waste treatment,-,-,H13,sludge from clean up,22.1,-,DE,D12,
AT ,Y18,wastes from waste treatment,-,4.1,H4.1,mixed waste from garages,222.8,-,DE,D10,
AT ,Y18,wastes from waste treatment,-,4.1,H4.1,mixed waste from garages,124.4,-,DE, ,R1
AT ,Y18,wastes from waste treatment,-,-,H13,contaminated soil,327.7,-,DE,,R5
AT ,Y18,wastes from waste treatment,-,-,H13,shredding residues,2482.1,-,DE,D10, 
AT ,Y18,wastes from waste treatment,-,-,H13,shredding residues,781.7,-,DE, ,R12
AT ,Y18,wastes from waste treatment,-,-,H13,shredding residues,93.5,-,DE, ,R5
AT ,Y18,wastes from waste treatment,A4100,-,H11,ash from heavy oil incineration,380.5,-,DE,,R4
AT ,Y18,wastes from waste treatment,-,3,H3,pre-mixed wastes,5499.7,-,DE,D10,
AT ,Y18,wastes from waste treatment,-,-,H13,sludge fro pc-treatment,3001.4,-,DE,,R12
AT ,Y18,wastes from waste treatment,-,-,H13,oil containing sludges ,4070.2,-,DE,,R1
AT ,Y18,wastes from waste treatment,-,-,H13,sludge fro pc-treatment,754.5,-,DE,,R12
AT ,Y18,wastes from waste treatment,A4100 ,6.1,H6.1,gas cleaning devices,1.7,-,DE,,R4
AT ,Y18,wastes from waste treatment,-,-,H13,salt slag,28652.4,-,DE,,R4
AT ,Y18,wastes from waste treatment,-,-,H13,salt slag,19453.3,DE,FR,,R4
AT ,Y18,wastes from waste treatment,A4140,6.1,H6.1,waste chemicals,25.0,-,DE,D12,
AT ,Y18,wastes from waste treatment,-,-,H13,mixed wastes,2653.7,-,DE,D10,
AT ,Y18,wastes from waste treatment,-,4.1,H4.1,mixed wastes,901.6,-,DE,D10,
AT ,Y18,wastes from waste treatment,-,-,H13,sludge from water treatment,250.8,-,DE,,R5
AT ,Y18,wastes from waste treatment,-,-,H13,RDF,194.8,-,SK,,R1
AT ,Y18,wastes from waste treatment,A4060,-,H13,oily sludges,525.6,-,DE,,R5
AT ,Y18,wastes from waste treatment,A4100,-,H13,filter dusts,208.6,-,DE,,R5
AT ,Y21,Cr(VI) containing wases,A4070,-,H11,pigments,55.8,-,DE,D12,
AT ,Y22,copper containing wastes,B1070,-,-,sludges   ,1440.3,-,SK,,R4
AT ,Y22,copper containing wastes,-,-,H11,grinding sludge,97.3,-,DE,,R4
AT ,Y22,copper containing wastes,A2030,-,H13,spent catalysts,151.7,-,DE,,R4
AT ,Y22,copper containing wastes,A1100,6.1,H11,filter dusts,1993.6,DE,BE,,R4
AT ,Y22,copper containing wastes,B1100,-,-,slag from copper processing,1494.4,-,SK,,R4
AT ,Y23,zinc bearing wastes,A1100,-,H11,filter dusts,485.8,DE,BE,,R4
AT ,Y23,zinc bearing wastes,A4100,-,H11,steelmill dust,1954.7,CZ,PL,,R4
AT ,Y23,zinc bearing wastes,A1170,8,H8,mixed batteries,840.4,-,DE,,R4
AT ,Y23,zinc bearing wastes,A1170,8,H8,mixed batteries,159.6,-,DE,,R12
AT ,Y23,zinc bearing wastes,AA010,-,H11,blast furnace gas sludge,758.6,-,DE,,R4
AT ,Y23,zinc bearing wastes,A1060,8,H8,pickling acid,1734.9,-,DE,,R4
AT ,Y23,zinc bearing wastes,A1080,-,H11,filter dusts,54.3,-,DE,,R4
AT ,Y23,zinc bearing wastes,A1100,-,H13,filter dusts,30.2,-,DE,,R4
AT ,Y23,zinc bearing wastes,A1170,8,H8,mixed batteries,247.7,-,DE,,R4
AT ,Y23,zinc bearing wastes,A1180,-,H13 ,WEEEs,18.3,-,DE,,R4
AT ,Y23,zinc bearing wastes,A2030,-,H13,spent catalysts,43.5,-,DE,,R4
AT ,Y23,zinc bearing wastes,A4100,-,H8,flux containing filter dusts,2.0,-,DE,,R4
AT ,Y23,zinc bearing wastes,A4100,-,H11,steelmill dust,95439.3,-,DE,,R4
AT ,Y23,zinc bearing wastes,A4100,-,H13,sludge,4614.3,-,DE,,R4
AT ,Y23,zinc bearing wastes,A4100,-,H13,dust from casting,34.5,-,DE,,R4
AT ,Y26 ,cadmium bearing wastes,A1170,8,H8,batteries including NiCd accus,47.4,-,DE,,R4
AT ,Y26 ,cadmium bearing wastes,A1170,8,H8,NiCd accus,45.1,-,DE,,R4
AT ,Y26 ,cadmium bearing wastes,A1170,8,H8,NiCd accus,258.7,DE,FR,,R4
AT ,Y26 ,cadmium bearing wastes,A1170,8,H8,batteries including NiCd accus,70.1,DE,FR,,R4
AT ,Y29,mercury bearing wastes,A1170,8,H11,mercury batteries,0.8,-,DE,,R13
AT ,Y29,mercury bearing wastes,A1030,-,H12,mercury containing residues,0.7,-,DE,,R4
AT ,Y29,mercury bearing wastes,A1030,-,H12,amalgam,2.1,-,DE,,R4
AT ,Y29,mercury bearing wastes,A1030,-,H12,mercury lamps,71.3,-,DE,,R5
AT ,Y29,mercury bearing wastes,A1180,-,H12,fluorescent tubes,13.1,-,DE,,R5
AT ,Y29,mercury bearing wastes,A1030,-,H12,mercury contaminated phosphor,6.7,-,DE,D12,
AT ,Y29,mercury bearing wastes,A1030,-,H12,amalgam,0.4,-,DE,,R13
AT ,Y31,lead bearing wastes,A1120,-,H11,lead bearing sludge,393.8,DE,BE,,R4
AT ,Y31,lead bearing wastes,A1100,-,H11,filter dusts,208.3,DE,BE,,R4
AT ,Y31,lead bearing wastes,A1180,-,H11,cathode ray tubes,71.4,-,CH,,R5
AT ,Y31,lead bearing wastes,A1160,8,H8,lead acid batteries,88.7,-,DE,,R13
AT ,Y31,lead bearing wastes,A1160,8,H8,lead acid batteries,2192.5,-,DE,,R4
AT ,Y31,lead bearing wastes,A1180,-,H11,kathode ray tubes,3386.2,CZ,DE,,R5
AT ,Y31,lead bearing wastes,A1180,-,H13,WEEEs,16.0,-,DE,,R4
AT ,Y31,lead bearing wastes,-,-,H12,lead bearing sludge,42.3,-,DE,,R4
AT ,Y31,lead bearing wastes,A1020,-,H11,ceramics,52.1,-,DE,,R4
AT ,Y31,lead bearing wastes,A4100,-,H11,filter dusts,63.9,-,DE,,R4
AT ,Y31,lead bearing wastes,A2010,-,H11,glass from cathode ray tubes,1344.9,-,DE,,R5
AT ,Y31,lead bearing wastes,A2010,-,H11,glass from cathode ray tubes,1261.7,-,DE,,R5
AT ,Y33,cyanidic wastes,A4050,6.1,H6.1,cyanides,26.0,-,DE,D12,
AT ,Y34,acids,A4090,8,H8,sulfuric acid,350.9,DE,BE,,R6
AT ,Y34,acids,A4090,8,H8,sulfuric acid,20.3,-,DE,,R6
AT ,Y34,acids,A4090,8,H8,oil containing acid,114.6,-,DE,,R5
AT ,Y35 ,alkalis,-,8,H8,tall oil containing lye,3211.9,CZ,PL,,R3
AT ,Y36,asbestos containing wastes,A4130,2,H3,gas cylinders,67.1,-,DE,,R4
AT ,Y36,asbestos containing wastes,A1180,9,H11,asbestos containing WEEEs,28.0,-,DE,,R4
AT ,Y39,phenoles,A3070,6.1,H6.1,chlorophenols,112.9,-,DE,,R5
AT ,Y41,halogenated solvents,A3160,6.1,H6.1 ,solvent containing sludge,59.7,DE,BE,,R2
AT ,Y41,halogenated solvents,A3150,6.1,H6.1,tetrachloroetylene,18.9,-,DE,,R2
AT ,Y41,halogenated solvents,A3150,3,H3,mixed solvents,44.2,-,DE,D10, 
AT ,Y41,halogenated solvents,A3150,6.1,H6.1,dichloromethane,212.7,DE,NL, ,R2
AT ,Y42,non-halogenated solvents,A3160,3,H13,solvent containing sludge,12.7,DE,BE,,R2
AT ,Y42,non-halogenated solvents,-,4.1,H4.1,solvent containing adsorbents,23.4,-,DE,,R4
AT ,Y42,non-halogenated solvents,A3140,3,H3,solvent-water mixtures,1647.1,-,DE,D10,
AT ,Y42,non-halogenated solvents,A3160,3,H3,solvent containing metal sludge,16.9,-,DE,,R4
AT ,Y42,non-halogenated solvents,A3140,3,H3,solvent mixtures,193.4,-,DE,,R2
AT ,Y42,non-halogenated solvents,A3140,3,H13,solvent-water mixtures,568.6,-,DE,,R1
AT ,Y42,non-halogenated solvents,A2040,4.1,H4.1,liquid catalysts,1.2,-,DE,,R4
AT ,Y42,non-halogenated solvents,A3140,-,H13,solvent-water mixtures,104.3,-,DE,,R5
AT ,Y42,non-halogenated solvents,A1170,9,H12,lithium batteries,47.4,DE,FI,,R4
AT ,Y42,non-halogenated solvents,A3140,3,H3,mixtures,910.8,CZ,DE,,R3
AT ,Y45,other halogenated compounds,A4030,3,H3,production waste,157.1,-,DE,,R5
AT ,Y45,other halogenated compounds,AC150,2,H12,CFCs/halons,52.8,DE,FR,D10,
AT ,Y45,other halogenated compounds,AC150,2,H12,CFCs/halons,36.4, ,DE,D10,
AT ,Y45,other halogenated compounds,AC150,2,H12,CFCs/halons,33.1, ,DE, ,R3
AT ,Y46,wastes from households,-,-,-,pre-treated wastes,46148.2,-,CH,D10,
AT ,Y46,wastes from households,-,-,-,pre-treated wastes,16328.4,-,CH, ,R1
AT ,Y46,wastes from households,-,-,-,wastes from households,13977.9,-,DE,D10, 
AT ,Y46,wastes from households,-,-,-,mixed wastes,7151.8,-,DE, ,R13
AT ,Y46,wastes from households,-,-,-,packaging waste,3021.0,-,DE, ,R3
AT ,Y46,wastes from households,-,-,-,wastes from households,936.6,-,DE,,R1
AT ,Y46,wastes from households,-,-,-,bulky wastes,593.6,-,DE,,R3
AT ,Y46,wastes from households,-,-,-,mixed waste from construction,300.2,-,DE,,R3
AT ,Y46,wastes from households,-,-,-,kitchen wastes,3378.1,-,DE,,R3
AT ,Y47,residues from waste incineration,-,-,-,non ferrous metals,763.9,-,DE,,R4
AT ,Y47,residues from waste incineration,A4100,6.1,H6.1,residues from off-gas cleaning,459.7,-,DE,,R5
AT ,Y47,residues from waste incineration,A4100,-,H13,residues from off-gas cleaning,3222.0,-,DE,D14, 
AT ,Y47,residues from waste incineration,A4100,-,H11,fly ash,9170.2,-,DE, ,R5
AT ,Y47,residues from waste incineration,A4100,-,H11,fly ash,1180.0,-,DE,D12, 
AT ,Y47,residues from waste incineration,A4100,-,H11,fly ash,1256.7,-,DE,D14, 
AT ,Y1,clinical waste,A4020,-,-,non infectious wastes,442.8,-,CH,,R1
AT ,Y17,wastes from surface treatment,AB130,-,-,waste from sand blasting,70.3,-,DE,,R4
AT ,Y17,wastes from surface treatment,-,-,-,shavings,1393.5,HU,SK,,R4
AT ,Y18,wastes from waste treatment,-,-,-,plastics from WEEEs,184.9,DE,BE,,R1
AT ,Y18,wastes from waste treatment,B3010,-,-,sorted plastics,696.9,"HU, RO",BG,,R3
AT ,Y18,wastes from waste treatment,-,-,-,RDF,22002.5,-,CH,,R1
AT ,Y18,wastes from waste treatment,-,-,-,rejects from pulp production,2295.6,-,CH,D10,
AT ,Y18,wastes from waste treatment,-,-,-,RDF,14092.9,-,CZ,,R1
AT ,Y18,wastes from waste treatment,-,-,-,metals from shredding,5025.1,-,DE,,R4
AT ,Y18,wastes from waste treatment,-,-,-,metals from sorting,3924.5,-,DE,,R4
AT ,Y18,wastes from waste treatment,AC270,-,-,sludge from waste water treatment,1478.2,-,DE,D10,
AT ,Y18,wastes from waste treatment,A3120,-,-,FLUFF,506.7,-,DE,,R12
AT ,Y18,wastes from waste treatment,-,-,-,PVC,45.0,-,DE, ,R3
AT ,Y18,wastes from waste treatment,-,-,-,aluminium scrap,69.0,-,DE,,R4
AT ,Y18,wastes from waste treatment,-,-,-,RDF,30.8,-,SK,,R1
AT ,Y18,wastes from waste treatment,-,-,-,shredding residues,10807.6,-,DE,,R4
AT ,Y18,wastes from waste treatment,-,-,-,shredding residues,405.8,-,DE,,R3
AT ,Y18,wastes from waste treatment,-,-,-,rejects from pulp production,1102.5,CZ,DE,,R11
AT ,Y18,wastes from waste treatment,-,-,-,rejects from pulp production,576.3,CZ,DE,,R3
AT ,Y18,wastes from waste treatment,-,-,-,rejects from pulp production,173.5, ,DE,,R3
AT ,Y18,wastes from waste treatment,-,-,-,mixed wastes from sorting,864.1,-,DE,,R3
AT ,Y18,wastes from waste treatment,-,-,-,RDF,135969.0,-,SK,,R1
AT ,Y18,wastes from waste treatment,-,-,-,RDF,19096.8,-,SK,,R12
AT ,Y18,wastes from waste treatment,-,-,-,RDF,12065.3,-,HU,,R1
AT ,Y18,wastes from waste treatment,-,-,-,RDF,546.5,-,DE,,R12
AT ,Y18,wastes from waste treatment,A4100,-,-,fly ash,1231.0,-,DE,,R5
AT ,Y18,wastes from waste treatment,A4100,-,-,fly ash,3428.7,-,DE,,R11
AT ,Y18,wastes from waste treatment,-,-,-,RDF,3428.7,HU,RO,,R12
AT ,Y18,wastes from waste treatment,-,-,-,RDF,4054.5,-,SI,,R1
AT ,Y22,copper bearing wastes,A1050 ,-,-,electroplating sludge,1363.2,-,DE,,R4
AT ,Y23,zinc bearing wastes,AA010,-,-,sludge from shaft furnace,50.8,-,DE,,R4
BE ,Y1,,,,,,43.3,,DE,D10,
BE ,Y1,,,,,,252.98,,FR,,R12
BE ,Y1,,,,,,37.735,,FR,,R12
BE ,Y1,,,,,,221.652,,FR,D10,
BE ,Y1,,,,,,375.0,,NL,,R3
BE ,Y1,,,,,,13.3,,NL,,R4
BE ,Y5,,,,,,1917.32,,DE,,R1
BE ,Y5,,,,,,836.8179640000001,,DE,,R1
BE ,Y6,,,,,,530.004,,DE,,R1
BE ,Y6,,,,,,58.06,,DE,,R1
BE ,Y6,,,,,,104.0,,DE,,R2
BE ,Y6,,,,,,656.053528,,DE,,R2
BE ,Y6,,,,,,1076.51,,DE,,R2
BE ,Y6,,,,,,70.92,,DE,,R2
BE ,Y6,,,,,,175.39,,DE,,R2
BE ,Y6,,,,,,81.14,,DE,,R12
BE ,Y6,,,,,,23.98,,DE,,R12
BE ,Y6,,,,,,30.7,,DE,D10,
BE ,Y6,,,,,,60.5,,DE,D10, 
BE ,Y6,,,,,,79.36,,DE,D10, 
BE ,Y6,,,,,,1255.5,,FR,,R1
BE ,Y6,,,,,,1242.8,,FR,,R2
BE ,Y6,,,,,,39.26,,FR,,R2
BE ,Y6,,,,,,5745.764687,,FR,,R2
BE ,Y6,,,,,,185.18,,FR,,R2
BE ,Y6,,,,,,199.84444399999998,,FR,,R2
BE ,Y6,,,,,,36.62,,FR,,R2
BE ,Y6,,,,,,191.5,,FR,,R12
BE ,Y6,,,,,,1949.1973500000001,,FR,,R12
BE ,Y6,,,,,,92.0,,FR,,R13
BE ,Y6,,,,,,43.059,,FR,D10, 
BE ,Y6,,,,,,189.66,,FR,D10, 
BE ,Y6,,,,,,12981.029222,,NL,,R1
BE ,Y6,,,,,,1517.741379,,NL,,R2
BE ,Y6,,,,,,428.746,,NL,,R9
BE ,Y6,,,,,,281.133828,,NL,,R9
BE ,Y6,,,,,,224.8,,NL,,R12
BE ,Y6,,,,,,638.606141,,NL,,R12
BE ,Y6,,,,,,244.431851,,SE,,R1
BE ,Y8,,,,,,9057.451552999999,,DE,,R9
BE ,Y8,,,,,,11014.712603,,DE,,R13
BE ,Y8,,,,,,2274.905,,FR,,R1
BE ,Y8,,,,,,1352.9502439999999,,FR,,R9
BE ,Y8,,,,,,7.86,,LU,,R9
BE ,Y8,,,,,,223.065,,NL,,R3
BE ,Y8,,,,,,2095.346984,,NL,,R12
BE ,Y8,,,,,,29.7,,NL,,R12
BE ,Y8,,,,,,1018.102568,,NL,,R12
BE ,Y8,,,,,,13677.202372,,NL,,R12
BE ,Y8,,,,,,4796.5264799999995,,NL,,R12
BE ,Y9,,,,,,1330.0,,CH,D9, 
BE ,Y9,,,,,,951.136,,CH,D10, 
BE ,Y9,,,,,,1232.903888,,DE,,R1
BE ,Y9,,,,,,59.58,,DE,,R1
BE ,Y9,,,,,,2025.0,,DE,,R3
BE ,Y9,,,,,,2498.2927999999997,,DE,,R13
BE ,Y9,,,,,,46.64,,DE,,R13
BE ,Y9,,,,,,120.0,,DE,D8, 
BE ,Y9,,,,,,2728.206662,,DE,D10, 
BE ,Y9,,,,,,28763.185800000003,,DE,D15, 
BE ,Y9,,,,,,21.1,,DK,D10, 
BE ,Y9,,,,,,4.7,,DK,D15, 
BE ,Y9,,,,,,730.68,,FR,,R1
BE ,Y9,,,,,,11270.122447,,FR,,R1
BE ,Y9,,,,,,162.08,,FR,,R1
BE ,Y9,,,,,,881.563454,,FR,,R1
BE ,Y9,,,,,,1335.8016,,FR,D9, 
BE ,Y9,,,,,,23111.899882,,FR,D10, 
BE ,Y9,,,,,,16.7,,LU,,R9
BE ,Y9,,,,,,95.86,,LU,,R12
BE ,Y9,,,,,,141.74,,LU,D9,
BE ,Y9,,,,,,305.82,,NL,,R2
BE ,Y9,,,,,,41.14,,NL,,R2
BE ,Y9,,,,,,132.265882,,NL,,R2
BE ,Y9,,,,,,435.0,,NL,,R2
BE ,Y9,,,,,,624.464,,NL,,R9
BE ,Y9,,,,,,2499.6392809999998,,NL,,R9
BE ,Y9,,,,,,3547.53,,NL,,R9
BE ,Y9,,,,,,1422.0,,NL,,R12
BE ,Y9,,,,,,2328.22,,NL,,R12
BE ,Y9,,,,,,7176.22,,NL,,R12
BE ,Y9,,,,,,641.1,,NL,D8, 
BE ,Y9,,,,,,9776.727772,,NL,D10, 
BE ,Y9,,,,,,8616.8481,,NL,D10, 
BE ,Y10,,,,,,40.16,,FR,D10, 
BE ,Y10,,,,,,2956.316186,,NL,,R12
BE ,Y10,,,,,,25549.716,,NL,D10, 
BE ,Y10,,,,,,38.14,,NL,D14, 
BE ,Y10,,,,,,178.59,,NL,D14, 
BE ,Y12,,,,,,379.432354,,DE,,R3
BE ,Y12,,,,,,372.214285,,DE,,R4
BE ,Y12,,,,,,111.9,,DE,,R12
BE ,Y12,,,,,,847.264478,,DE,,R12
BE ,Y12,,,,,,727.690076,,DE,,R12
BE ,Y12,,,,,,450.0,,DE,,R12
BE ,Y12,,,,,,381.51,,FR,,R12
BE ,Y12,,,,,,97.4,,NL,,R1
BE ,Y12,,,,,,194.1,,NL,,R12
BE ,Y13,,,,,,124.12,,DE,,R3
BE ,Y13,,,,,,24.4,,DE,,R12
BE ,Y13,,,,,,146.54,,NL,,R1
BE ,Y13,,,,,,3.8,,NL,,R4
BE ,Y14,,,,,,164.4,,DE,,R4
BE ,Y15,,,,,,0.133,,DE,D10, 
BE ,Y15,,,,,,7.492,,NL,D15, 
BE ,Y16,,,,,,1702.255776,,DE,,R11
BE ,Y16,,,,,,2.0,,DE,D10,
BE ,Y16,,,,,,1114.329664,,FR,,R2
BE ,Y16,,,,,,1019.675,,GB,,R4
BE ,Y16,,,,,,915.75,,NL,,R4
BE ,Y16,,,,,,6.970277,,NL,,R4
BE ,Y16,,,,,,9.257,,NL,,R4
