"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code"
DZ,Y23,CENDRE DE ZINC,B1010,,"H11,H13",DECHET SPECIAUX,3500.0000,,IN,,
DZ,Y8,HUILES USAGEES MOTEURS,A3020,,H12,DECHETS SPECUAX DANGEREUX,8000.0000,,DK,,
DZ,Y10,HUILES 0 BASE DES PCB,A3180,,"H11,H12",DECHETS SPECIAUX DANGEREUX,1075.0000,,BE,,
DZ,Y13,DISPERSANT MUOILLANT,A4070,,"H11,H12",DECHETS SPECIAUX DANGEREUX,0.4210,,FR,D10,
DZ,Y8,HUILES USAGEES MOTEURS,A3020,,H12,DECHETS SPECIAUX DANGEREUX,8400.0000,,GR,,
DZ,Y12,DURCISSEUR (PEROXYDE DE DIBENZOYLE),A4070,,H1,dechets spéciaux dangereux,11.5000,,FR,,
AD,Y_,,,,,Clinical medical waste,2.1,,ES,D10,
AD,Y3,,,,,"Waste pharmaceuticals, drugs and medicines",5.01,,ES,D9,
AD,Y8,,,,,Waste mineral oils,163.7,,ES,,R9
AD,Y9,,,,,"Waste oils/water, hydrocarbons/water mixtures, emulsions",250.6,,ES,,R3
AD,"Y12,Y13",,,,,Waste of pain and varnish / Waste of glue and water glue,98.4,,ES,D9,
AD,Y16,,,,,Waste photographic chemicals,6.80,,ES,D9,
AD,Y18,,,,,waste resulting from the operations of disposal of industrial wastes,137.2,,ES,D5,
AD,Y29,,,,,Fluorescent lights and batteries,15.02,,ES,,R4
AD,Y31,,,,,Batteries ,211.5,,ES,,R4
AD,Y34,,,,,Lab reagents and inorganic acids,10.0,,ES,D9,
AD,Y36,,,,,Asbestos,29.9,,ES,D5,
AD,Y41,,,,,Halogenated organic solvents,0.4,,ES,D9,
AD,Y42,,,,,Organic solvents excluding halogenated solvents,45.2,,ES,D_,
AR,Y10,"Liquids and capacitors containing PCBs inside and PCB contaminated solid materials such as rags, absorbent, porous materials, elelentos personal protection, land and housings for electrical equipment",A3180,9.0,"H11, H12",Toxic (delayed or chronic effects); Ecotoxicological,239.7,"BR, BE",FR,D9,
AR," Y20, Y21, Y22, Y23, Y25, Y26, Y27, Y29, Y31",Y48 Resolution SADS 897/2002 Printed Circuit Boards from WEE (PCB) ,A1180,,H13,Material that could leach hazardous constituent,144.7,,BE,,R4
AU,Y33,Spent pot liner,A4050,,4.3,,7200.0,"SG, MY, EG, FR",DE,,R5
AU,Y_,Spent platinum catalyst,A2030,,13.0,,400.0,NZ,US,,R8
AU,Y31,Used lead acid batteries,A1160,,"6.1, 8, 11",,5500.0,,KR,,R4
AU,Y41,Li metal batteries not in equipment,A3150,,,,5.0,NZ,US,,R4
AU,Y41,Li metal bateries in equipment,A3150,,,,2.0,NZ,US,,R4
AU,Y3,Expired platinum based pharmceuticals,A4010,,"6.1, 11, 12",,24.0,HK,DE,,R_
AU,Y31,Lead waste recovered from ULABs - transported by air,A1020,,,,3600.0,,KR,,R4
AU,Y31,Lead waste recovered from ULABs,A1020,,,,10000.0,,KR,,R4
AU,Y31,Lead waste recovered from ULABs,A1020,,,,20000.0,"SG, DE",PL,,R4
AU,Y_,Waste catalysts,A2030,,,,50.0,,KR,,R8
AU,"Y26,Y35",Waste batteries - NiCad / NiMH / Li-ion,A1170,,"8, 11, 12, 13",,700.0,,KR,,R4
AU,Y23,Waste catalysts,A2030,,"12, 4.2",,37.0,"SG, MY, EG, DE, NL",BE,,R4
AU,Y23,Waste catalysts,A2030,,"12, 4.2",,60.0,"SG, MY, EG, DE, NL",BE,,R4
AU,Y23,Waste catalysts,A2030,,12.0,,20.0,"SG, MY, EG, DE, BE",NL,,R4
AU,Y31,CRT waste glass,A2010,,12.0,,3000.0,,KR,,R4
AU,Y26,Waste batteries,A1170,,11.0,,100.0,,KR,,R4
AU,Y_,Waste catalysts,A2030,,4.2,,104.0,"NZ, PA, BS",US,,R8
AU,Y23,Waste dry cell alkaline and zinc carbon batteries,A1170,,"11, 12, 13",,120.0,"SG, MY, IN, LK, EG, MT ",ES,,R4
AU,"Y32,Y33",Spent pot liner,A4050,,4.3,,8000.0,,ES,,R5
AU,Y35,Lithium metal batteries,A3150,,,,15.0,"NZ, US",CA,,R4
AU,Y35,Lithium metal batteries in equipment,A3150,,,,2.0,"NZ, US",CA,,R4
AU,Y33,Spent pot linings,NA,,4.3,,12000.0,"SG, MY, LK, EG, FR, DE, BE",GB,,R5
AT,Y_,,A2030,4.2,11.0,transition metal catalyst,133.96,-,DE,,R4
AT,Y_,,A2030,4.1,6.1,off gas cleaning device ,0.4,-,DE,,R4
AT,Y_,,A4130,2,6.1,compressed gas tanks,17.061,-,DE,D10,
AT,Y_,,A1170,9,3,Li-batteries,54.98,-,DE,D10,
AT,Y_,,A1170,9,3,Li-batteries,42.3,DE,FI,,R4
AT,Y_,,A4140,9,9,chemicals,22.5,-,DE,,R5
AT,Y_,,A1180,,11,IT equipment,15.78,-,DE,,R4
AT,Y_,,A1180,,13,electrical equipment,86.94,-,DE,,R12
AT,Y1,,A4020,6.2,6.2,mixed wastes ,12.92,-,CH,,R1
AT,Y1,,A4020,6.2,6.2,infectious wastes,287.562,-,DE,D10,
AT,Y2,,A3150,6.1,13,dichloromethane,28.56,-,DE,,R2
AT,Y2,,A3140,3,3,ethanol,949.81,-,DE,,R2
AT,Y2,,A4010,3,3,solvent mixtures,348.17,"DE, NL",BE,,R2
AT,Y2,,A4010,3,3,iodine containing solvents,369.35,-,de,,R5
AT,Y3, ,A4010,4.1,4.1,unsorted pharmaceuticals,16.56,-,DE,D10,
AT,Y3, ,A4010,6.1,6.1,expired pharmaceuticals,9.159,-,DE,,R4
AT,Y6,,A3140,-,11,solvents from degrassing,0.693,-,DE,,R2
AT,Y6,,A3140,3,3,solvent mixtures,840.854,-,DE,,R2
AT,Y6,,A3150,6.1,11,perchlorethylene,21.8,-,DE,,R2
AT,Y6,,A3140,3,3,solvent mixtures,1.5,-,DE,,R13
AT,Y6,,A3150,6.1,11,perchlorethylene,11.1,-,DE,,R13
AT,Y6,,A3140,3,3,solvent mixtures,530.46,DE,NL,,R2
AT,Y8,,,,13,oily wastes from garages,1010.36,-,CH,,R1
AT,Y8,,,,13,oily wastes from garages,309.58,-,DE,,R1
AT,Y8,,A3020,9,13,mineral oil,20357.82,-,DE,,R9
AT,Y8,,A3020,,13,transformer oil,580.19,-,DE,,R9
AT,Y8,,A3020,9,13,mineral oil,91.88,-,SK,,R1
AT,Y8,,A3020,9,13,drilling oil,832.46,-,DE,,R9
AT,Y11,,,,11,demolition waste,885.245,DE,NL,,R5
AT,Y11,,,,11,demolition waste,998.725,DE,NL,,R5
AT,Y12,,A3140,3,3,solvent mixtures,321.6,-,DE,,R12
AT,Y12,,A3140,3,3,solvent mixtures,169.01,-,DE,,R2
AT,Y12,,A4070,3,3,paint sludge,23.8,-,DE,D10,
AT,Y12,,A4070,3,3,paint sludge,163.04,-,DE,,R12
AT,Y14,,A4140,3,3,unsorted chemicals,11.96,-,DE,D10,
AT,Y15,,A4080,1,13,waste explosives,0.509,DE,CH,D10,
AT,Y17,,A1010,,11,lead containing brass,3.592,-,DE,,R4
AT,Y17,,A1130,6.1,6.1,etching solution,61.6,-,DE,,R4
AT,Y17,,A1060,8,8,etching solution,116.64,-,DE,,R4
AT,Y17,,A1050,,11,Ni-containing sludge,125.7,-,DE,,R4
AT,Y17,,A1050,,11,galvanic sludge,2263.588,-,DE,,R4
AT,Y18,,,4.1,13,pre-mixed wastes,355.32,-,DE,,R1
AT,Y18,,A3120,,13,FLUFF,1859.93,-,CH,,R1
AT,Y18,,A3120,,13,FLUFF,1059.76,-,DE,D10, 
AT,Y18,,A3120,,13,FLUFF,1234.1,-,DE, ,R12
AT,Y18,,A3120,,13,FLUFF,1729.1,-,DE, ,R5
AT,Y18,,A4100,,11,V-containing ash from oil incineration,352.065,-,DE,,R4
AT,Y18,,A4100,,13,sludge from flue gas cleaning,231.99,-,DE,,R11
AT,Y18,,A3150,6.1,6.1,premixed waste,627.54,-,DE,D10,
AT,Y18,,,,11,heavy metal sludge,736.408,"SK, PL",FI,,R4
AT,Y18,,,,13 ,oil containing sludge,209.84,-,DE,,R1
AT,Y18,,A4140,6.1,6.1,collected chemicals,3.086,-,DE,D10,
AT,Y18,,A4100,,13,flue gas cleaning residues,1259.32,-,DE,D12,
AT,Y18,,A4100,6.1 ,6.1,off gas cleaning device ,1.749,-,DE,,R4
AT,Y18,,A2030,4.3,4.3,spent catalysts,4.601,-,DE,D10,
AT,Y18,,,4.3,13,residues from secondary smelters,22453.91,-,DE,,R4
AT,Y18,,,4.3,13,residues from secondary smelters,20431.66,DE,FR,,R4
AT,Y18,,,4.3,13,residues from secondary smelters,298.64,-,DE,,R4
AT,Y18,,,,13,sludge from grid chamber,339.46,-,DE,,R5
AT,Y18,,,,13,heavy metal bearing sludge,56.16,-,DE,,R4
AT,Y18,,,,13,concentrates from c/p-treatment,2564.56,-,DE,D10,
AT,Y18,,,4.1,4.1,pre-mixed wastes,803.16,-,DE,D10,
AT,Y18,,A4100,,11,fly ash,1555.68,-,DE,D12,
AT,Y18,,A4100,,13,fly ash,1815.17,-,DE, ,R11
AT,Y18,,A4100,,13,flue gas cleaning residues,1568.82,-,DE,D14, 
AT,Y18,,A4100,,11,fly ash,4910.14,-,DE, ,R5
AT,Y18,,A4100,,11,fly ash,1472.88,-,DE,D12, 
AT,Y18,,A4100,,11,fly ash,2364.8,-,DE, ,R5
AT,Y18,,,,11,sulfides,82.015,"CZ, DE",NL,,R4
AT,Y18,,A2010,,11,lead containing glas,2112.09,"CZ, DE",DE,,R5
AT,Y22,,A1120,,11,metal sludge,276.75,DE,BE,,R4
AT,Y22,,A1050,,11,Cu-containing sludge,57.94,DE,CH,,R4
AT,Y22,,,,11,Cu-containing sludge,20.861,-,DE,,R4
AT,Y22,,A2030,,11,spent catalysts,129.444,-,DE,,R4
AT,Y22,,A1050,,11,Cu-containing sludge,77.607,-,DE, ,R4
AT,Y23,,A1170,,8,unsorted batteriers,1286.22,-,DE,,R4
AT,Y23,,A4100,,13,filter dust,0.72,-,DE,,R4
AT,Y23,,A1100,,13,filter dust,148.89,-,SK,,R4
AT,Y23,,A1100,,11,filter dust,1926.37,DE,BE,,R4
AT,Y23,,A1080,,11,filter dust,55.194,-,DE,,R4
AT,Y23,,A1100,,13,filter dust,14.66,-,DE,,R4
AT,Y23,,A1060,8,8,Zn-containing acids,1691.59,-,DE,,R5
AT,Y23,,A4100,,11,dust from steel works,104331.894,-,DE,,R4
AT,Y23,,A4100,,11,dust from foundries,91.63,-,DE,,R4
AT,Y23,,A4100,,11,sludge from steel works,863.16,-,DE,,R4
AT,Y23,,A1180,,13,electrical equipment,24.6,-,DE,,R4
AT,Y23,,A4100,6.1,11,dust from steel works,951.58,CZ ,PL,,R4
AT,Y23,,A4100, ,11,dust from steel works,11310.38,CZ ,PL,,R4
AT,Y23,,A4100,,11,sludge from steel works,414.45,"CZ, DE",PL,,R4
AT,Y26,,A1170,8,8,Cd-containing batteries,63.695,-,DE,,R4
AT,Y26,,A1170,8,8,Ni-Cd-batteries,192.423,DE,FR,,R4
AT,Y29,,A1170,8,13,mercury cells,0.581,-,DE,,R13
AT,Y29, ,A1010,8,13,amalgam,0.488,-,DE,,R13
AT,Y29,,A1030,8,13,amalgam,24.28,-,DE,,R4
AT,Y29,,A1030,,13,fluorescent tubes,147.842,-,DE,,R5
AT,Y29,,A1010,8,13,amalgam,0.255,-,DE,,R4
AT,Y31,,A1160,8,8,lead acid batteries,4288.109,-,DE,,R4
AT,Y31, ,A1020,,11,lead containing ceramics,6.337,-,DE,,R4
AT,Y31,,A1100,,11,filter dust,699.77,DE,BE,,R4
AT,Y31,,A1120,6.1,6.1,lead containing sludge,23.0,DE,BE,,R4
AT,Y31,,A4070,6.1,6.1,lead containing pigments,24.18,-,DE,D12,
AT,Y31,,A1020,,12,production waste,11.363,-,DE,,R4
AT,Y31,,A4060 ,,11,production waste,19.932,-,DE,,R4
AT,Y31,,A2010,,11,glas,110.82,-,DE,,R5
AT,Y31,,A1180,,11,monitors,1247.97,-,DE,,R4
AT,Y31,,A2010,,11,X-ray tubes,2224.94,CZ,DE,,R5
AT,Y31,,A2010,,11,X-ray tubes,1326.52,-,DE,,R5
AT,Y34,,A4090,8,8,acids,294.78,-,DE,,R6
AT,Y34,,A4090,8,8,oil containing acid,70.18,-,DE,,R5
AT,Y35,,A1170,8,8,Ni-Cd-batteries,140.84,DE,FR,,R4
AT,Y35,,A1170,8,8,Ni-NiH-batteries,62.12,DE,FR,,R4
AT,Y36,,A4130,2,11,acetylene gas cylinder,68.042,-,DE,,R4
AT,Y36,,A4130,2,11,acetylene gas cylinder,60.07,-,DE,,R12
AT,Y36,,A2050,9,11,asbestos,7.88,-,DE,D1,
AT,Y36,,A2050,9,11,asbestos containing WEEE,33.106,-,DE,,R4
AT,Y36,,A1180,,11,WEEE,24.04,-,DE,,R4
AT,Y36,,A1180,,11,WEEE,151.08,-,IT,,R4
AT,Y39,,A3070,6.1,6.1,production waste,57.3,-,DE,,R5
AT,Y41,,A3150,6.1,6.1,solvent containing sludge,28.58,DE,BE,,R2
AT,Y41,,A3150,6.1,3,iodine containing solvents,99.26,-,DE,,R5
AT,Y41,,A3150,6.1,6.1,trichloroethylene,38.71,-,DE,,R2
AT,Y41,,A3150,,13,solvent water mixtures,1071.58,-,DE,D10,
AT,Y41,,A3150,3,3,production waste,375.35,-,DE,,R2
AT,Y42,,,4.1,4.1,precious metal containing residues,10.352,-,DE,,R4
AT,Y42,,A3140, ,13,solvent water mixtures,627.02,-,DE,D10,
AT,Y42,,A3140,3,3,solvents                 ,1540.454,-,DE,,R2
AT,Y42,,A3140, ,13,solvent water mixtures,92.84,-,DE,D10, 
AT,Y42,,A3140,,13,solvent water mixtures,212.94,-,DE,,R5
AT,Y42,,A3140,3,H13,solvent containing sludge,8.56,DE,BE,,R2
AT,Y42,,A3140,3,3,solvent mixtures,195.76,-,DE,,R1
AT,Y42,,A3140,3,3,solvents,98.7,-,DE,,R2
AT,Y42,,,3,3,solvent containing metal sludge,2.089,-,DE,,R4
AT,Y45,,A1180,,12,CFC containing equipment,15.52,-,DE,,R4
AT,,,,,,,,,,,
AT,Y46,,,,,partly pre-treated waste,20449.17,-,CH,D10,
AT,Y46,,,,,partly pre-treated waste,38005.63,-,CH, ,R1
AT,Y46,,,,,packaging waste,1109.56,-,DE,,R3
AT,Y46,,,,,kitchen waste,2743.6,-,DE,,R3
AT,Y46,,,,,packaging waste,18.44,-,DE,,R4
AT,Y46,,,,,bulky wastes,783.49,-,DE,D10,
AT,Y46,,,,,municipal wastes,3444.347,-,DE,D10,
AT,Y46,,,,,municipal wastes,6122.53,-,DE, ,R1
AT,Y46,,,,,bulky wastes,1065.06,-,DE, ,R3
AT,Y47,,,,,scrap from waste incineration,2383.12,-,DE,,R4
AT,Y47,,A4100,,,fly ash,1984.43,-,DE,,R11
AZ,"Y17,Y23","wastes of plastics
used oil products
wastes with zinc compounds","A4060,B1080,B1100","4.1,9","H3,H8,H12","Flammable solids
Ecotoxsic
Corrosives",375.00,,RU,,"R1,R5,R7,R9"
BA,"Y31,Y34",,A1160,8,"H8,H12",,"200,00",HR,SI,,R4
BA,"Y8,Y12,Y13,Y18",,A1160,8,"H8,H12",,"41,44","HR,SI",AT,D10,
BA,"Y31,Y34",,A1160,8,"H8,H12",,"2.499,70",HR,SI,,R4
BA,Y31,,A1160,9,H12,,"829,85",HR,SI,,R4
BA,Y3,,A4010,9,H12,,"16,36","AT,HR,SI",DE,D10,
BA,"Y12,Y13,Y41,Y45",,,,"H4.1,H6.1,H12",,"15,8","HR,SI",AT,D10,
BA,"Y2,Y3",,A4010,,"H3,H6.1,H11",,"56,05","HR,SI",AT,D10,
BA,Y36,,A2050,,H11,,"95,1","AT,HR,SI",DE,D5,
BA,Y18,,A1050,,H13,,"23,22","HR,SI",AT,,R5
BA,Y9,,A3020,,H13,,"21,16","HR,SI",AT,D10,
BA,Y6,,,,"H3,H6.1,H12,H13",,"40,24","HR,SI",AT,D10,
BA,Y18,,,,"H4.1,H6.1,H12",,"43,74","AT,HR,SI",DE,D10,
BA,Y8,,,,H12,,"34,64","AT,HR,SI",DE,,R9
BG,Y31,solidified lead slag,A1020,9.0,H12,solid,1662.84,"RO, HU, SK, CZ",DE,,R5
BG,Y17, sludge and filter cake with haz. substances ,A1050,9.0,H6.1,solid,37.82,"RO, HU, At",DE,,"R12, R5"
BG,Y17,waste containing cianides,A4050,9.0,H6.1,solid,27.2,"RO, HU, AT",DE,D1,
BG,Y46,discarded equipment,A1180,9.0,H12,solid,20.501,,GR,,"R12, R4"
BG,Y46,WEEE,A1180,9.0,H12,solid,3.19,,RO,,"R12, R4"
BG,Y3,off-specification medicaments,A4010,9.0,H12,solid,3.96,"RO, HU, AT, CZ",DE,D10,
BG,Y3,off-specification medicaments,A4010,9.0,H12,solid,110.021,"RO, HU, AT, CZ",DE,D10,
BG,"Y21, Y22, Y23, Y24, Y25, Y26, Y27, Y28, Y29, Y30, Y31, Y32, Y33, Y34, Y35, Y37, Y38, Y39, Y40, Y41, Y42, Y45",waste laboratory chemicals,A4140,3.0,"H3, H5.1, H6.1","solid, liquid",13.685,"RO, HU, AT",DE,D10,
BG,"Y7, Y12, Y17, Y31, Y33, Y34, Y35",cyanide salts,A4140,6.1,"H6.1, H12, H31",solid,36.01,"RO, HU, AT",DE,D10,
BG,"Y2, Y12, Y37, Y38, Y39, Y40, Y41, Y42",waste organic materials,A4140,3.0,"H3, H6.1, H8, H11","solid, liquid",60.574,"RO, HU, AT",DE,D10,
BG,"Y2, Y3, Y4, Y6, Y7, Y12, Y13, Y17, Y18",mixed material containing hazardous substances,,9.0,H12,"powder, solid, viscouse",356.895,"RO, HU, AT",DE,D10,
BG,Y31,hazardous sludges from waste water treatment,A1020,9.0,H11,liquid,175.745,,RO,,R4
BG,Y31,lead paste,A1020,9.0,H12,"viscouse, powder",229.542,,RO,,R4
BG,Y31,polyethylene separator,A1020,9.0,H12,solid,145.16,"RO, HU, SK, CZ",DE,D10,
BG,"Y12, Y18",premixed waste (contaminated packaging & absorbents),,9.0,H12,solid,121.22,"RO, HU",AT,D10,
BG,Y29,fluorescent tubes and other mercury containing waste,A1030,8.0,H12,solid,17.61,,RO,,"R12, R4"
BG,Y29,fluorescent tubes and other mercury containing waste,A1030,8.0,H12,solid,2.571,"RO, HU, AT",DE,,"R12, R4"
BG,Y26,spent portable batteries,A1170,9.0,H12,solid,4.312,"RO, HU, AT",DE,,"R12, R4"
CA,"Y21, Y31, Y35",Hexavalent chromium compounds; Lead; Basic solutions (or solids),,8.0,H8,Corrosive,16.0,,US,D3,
CA,"Y31, Y21",Lead; Hexavalent chromium compounds,,,H12,Ecotoxic,53.735,,US,D3,
CA,"Y31, Y34",Lead; Acidic solutions (or solids),,8.0,H8,Corrosive,39.3,,US,D3,
CA,"Y31, Y34,  Y23,  Y17",Lead; Acidic solutions (or solids); Zinc; Wastes resulting from the surface treatment of metals and plastics,,8.0,H8,Corrosive,38.225,,US,D3,
CA,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,5.121,,US,D3,
CA,Y34,Acidic solutions (or solids),,8.0,"H8 ,H5.1",Corrosive; Oxidizing,11.11,,US,D3,
CA,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,666.531,,US,D3,
CA,"Y34, Y17",Acidic solutions (or solids); Wastes resulting from the surface treatment of metals and plastics,,8.0,H8,Corrosive,13.667,,US,D3,
CA,"Y34, Y21, Y17",Acidic solutions (or solids); Hexavalent chromium compounds; Wastes resulting from the surface treatment of metals and plastics,,8.0,H8,Corrosive,711.023,,US,D3,
CA,"Y34, Y21, Y25",Acidic solutions (or solids); Hexavalent chromium compounds; Selenium,,8.0,H8,Corrosive,1374.227,,US,D3,
CA,"Y34, Y21, Y31",Acidic solutions (or solids); Hexavalent chromium compounds; Lead,,8.0,H8,Corrosive,287.702,,US,D3,
CA,"Y34, Y24, Y21",Acidic solutions (or solids); Arsenic; Hexavalent chromium compounds,,8.0,H8,Corrosive,137.733,,US,D3,
CA,"Y34, Y31, Y21",Acidic solutions (or solids); Lead; Hexavalent chromium compounds,,8.0,H8,Corrosive,2740.341,,US,D3,
CA,"Y34, Y32, Y17",Acidic solutions (or solids); Inorganic fluorine compounds; Wastes resulting from the surface treatment of metals and plastics,,8.0,H8,Corrosive,150.462,,US,D3,
CA,"Y18, Y35",Basic solutions (or solids); Residues arising from industrial waste-disposal operations,,8.0,H8,Corrosive,2597.378,,US,D3,
CA,"Y22, Y23, Y35",Basic solutions (or solids); Zinc; Copper,,8.0,H8,Corrosive,32.502,,US,D3,
CA,"Y18, Y22, Y23, Y35",Basic solutions (or solids); Zinc; Copper; Residues arising from industrial waste-disposal operations,,8.0,H8,Corrosive,17.132,,US,D3,
CA,Y_,Other,,,H13,Leachate,1027.478,,US,D3,
CA,Y9,Waste oil;  water,,,H12,Ecotoxic,3680.0,,US,D5,
CA,"Y25, Y26, Y29",Selenium; Cadmium; Mercury,,,H12,Ecotoxic,333.959,,US,D5,
CA,"Y31, Y35",Lead; Basic solutions (or solids),,,H12,Ecotoxic,511.545,,US,D5,
CA,Y32,Inorganic fluorine compounds,,,H13,Leachate,3105.475,,US,D5,
CA,Y32,Inorganic fluorine compounds,,4.3,H4.3,Flammable Gases in contact with water,2130.9625799999994,,US,D5,
CA,"Y34, Y3","Acidic solutions (or solids); Waste pharmaceuticals, drugs, and medicines",,,H12,Ecotoxic,512.113,,US,D5,
CA,Y1,"Clinical wastes from medical care in hospitals, medical centres, and clinics",,,H12,Ecotoxic,1572.9416299999998,,US,D9,
CA,Y1,"Clinical wastes from medical care in hospitals, medical centres, and clinics",,6.2,H6.2,Infectious substances,0.304,,US,D9,
CA,Y1,"Clinical wastes from medical care in hospitals, medical centres, and clinics",,6.2,H6.2,Infectious substances,38.07,,US,D9,
CA,Y9,Waste oil;  water,,,H12,Ecotoxic,995.21,,US,D9,
CA,Y9,Waste oil;  water,,9.0,H12,Ecotoxic,35.554,,US,D9,
CA,"Y9, Y18",Waste oil;  water; Residues arising from industrial waste-disposal operations,,,H12,Ecotoxic,5869.893,,US,D9,
CA,Y17,Wastes resulting from the surface treatment of metals and plastics,,,H12,Ecotoxic,55.392,,US,D9,
CA,"Y17, Y23, Y31, Y34",Wastes resulting from the surface treatment of metals and plastics; Zinc; Lead; Acidic solutions (or solids),,8.0,H8,Corrosive,352.274,,US,D9,
CA,"Y17, Y23, Y34",Wastes resulting from the surface treatment of metals and plastics; Zinc; Acidic solutions (or solids),,8.0,H8,Corrosive,1017.261,,US,D9,
CA,Y21,Hexavalent chromium compounds,,,H13,Leachate,31.742,,US,D9,
CA,"Y21, Y26",Hexavalent chromium compounds; Cadmium,,,H13,Leachate,426.037,,US,D9,
CA,"Y21, Y31",Hexavalent chromium compounds; Lead,,,H12,Ecotoxic,17.995,,US,D9,
CA,"Y21, Y31",Hexavalent chromium compounds; Lead,,,H13,Leachate,1.4,,US,D9,
CA,"Y21, Y31, Y16","Hexavalent chromium compounds; Lead; Wastes from the production, formulation, and use of photographic chemicals and processing materials",,,H13,Leachate,4.0,,US,D9,
CA,"Y21, Y31, Y17",Hexavalent chromium compounds; Lead; Wastes resulting from the surface treatment of metals and plastics,,,H12,Ecotoxic,5.358,,US,D9,
CA,"Y21, Y31, Y17",Hexavalent chromium compounds; Lead; Wastes resulting from the surface treatment of metals and plastics,,,H13,Leachate,2.266,,US,D9,
CA,Y22,Copper,,,H12,Ecotoxic,10.96,,US,D9,
CA,Y22,Copper,,6.1,H6.1,Toxic (Poisonous),89.262,,US,D9,
CA,"Y24, Y26, Y21, Y18",Arsenic; Cadmium; Hexavalent chromium compounds; Residues arising from industrial waste-disposal operations,,,H13,Leachate,22.01,,US,D9,
CA,"Y24, Y26, Y31, Y5",Arsenic; Cadmium; Lead; Wastes from the manufacture and use of wood-preserving chemicals,,,H13,Leachate,4.0,,US,D9,
CA,"Y26, Y31",Cadmium; Lead,,,H13,Leachate,36.46,,US,D9,
CA,"Y26, Y31, Y34",Cadmium; Lead; Acidic solutions (or solids),,8.0,H8,Corrosive,4268.551,,US,D9,
CA,Y31,Lead,,,H12,Ecotoxic,18.61,,US,D9,
CA,Y31,Lead,,,H13,Leachate,2214.52,,US,D9,
CA,"Y31, Y3","Lead; Waste pharmaceuticals, drugs, and medicines",,,H13,Leachate,14.0,,US,D9,
CA,"Y31, Y21, Y23",Lead; Hexavalent chromium compounds; Zinc,,,H13,Leachate,19.08,,US,D9,
CA,"Y31, Y24, Y26",Lead; Arsenic; Cadmium,,,H12,Ecotoxic,409.538,,US,D9,
CA,"Y31, Y26, Y21, Y18",Lead; Cadmium; Hexavalent chromium compounds; Residues arising from industrial waste-disposal operations,,,H13,Leachate,10.98,,US,D9,
CA,"Y31, Y34",Lead; Acidic solutions (or solids),,8.0,H8,Corrosive,0.4,,US,D9,
CA,"Y31, Y34,  Y23,  Y17",Lead; Acidic solutions (or solids); Zinc; Wastes resulting from the surface treatment of metals and plastics,,8.0,H8,Corrosive,1988.156,,US,D9,
CA,"Y32, Y33",Inorganic fluorine compounds; Inorganic cyanides,,4.3,H4.3,Flammable Gases in contact with water,5505.726,,US,D9,
CA,Y34,Acidic solutions (or solids),,,H12,Ecotoxic,3422.13,,US,D9,
CA,Y34,Acidic solutions (or solids),,6.1,H6.1,Toxic (Poisonous),3.306,,US,D9,
CA,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,70.91,,US,D9,
CA,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,1546.04,,US,D9,
CA,Y34,Acidic solutions (or solids),,8.0,H8,Corrosive,46.984,,US,D9,
CA,"Y34, Y3","Acidic solutions (or solids); Waste pharmaceuticals, drugs, and medicines",,6.1,H6.1,Toxic (Poisonous),4.8,,US,D9,
CA,"Y34, Y3","Acidic solutions (or solids); Waste pharmaceuticals, drugs, and medicines",,8.0,H8,Corrosive,18.532,,US,D9,
CA,"Y34, Y3","Acidic solutions (or solids); Waste pharmaceuticals, drugs, and medicines",,8.0,H8,Corrosive,33.2,,US,D9,
CA,"Y34, Y21, Y31",Acidic solutions (or solids); Hexavalent chromium compounds; Lead,,8.0,H8,Corrosive,14.4,,US,D9,
CA,"Y34, Y22, Y17",Acidic solutions (or solids); Zinc; Wastes resulting from the surface treatment of metals and plastics,,8.0,H8,Corrosive,574.895,,US,D9,
CA,"Y34, Y31, Y21",Acidic solutions (or solids); Lead; Hexavalent chromium compounds,,8.0,H8,Corrosive,17.66,,US,D9,
CA,Y35,Basic solutions (or solids),,,H12,Ecotoxic,1615.937,,US,D9,
CA,Y35,Basic solutions (or solids),,8.0,H8,Corrosive,117.94,,US,D9,
CA,"Y35 ,Y3","Basic solutions (or solids); Waste pharmaceuticals, drugs, and medicines",,8.0,H8,Corrosive,27.0,,US,D9,
CA,"Y18, Y35",Basic solutions (or solids); Residues arising from industrial waste-disposal operations,,,H12,Ecotoxic,1645.912,,US,D9,
CA,"Y21, Y31, Y35",Basic solutions (or solids); Hexavalent chromium compounds; Lead,,8.0,H8,Corrosive,4.6,,US,D9,
CA,"Y23, Y35",Basic solutions (or solids); Zinc,,8.0,H8,Corrosive,14.0,,US,D9,
CA,"Y12, Y41, Y42 ","Halogenated organic solvents; Organic solvents; Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",,3.0,"H3 ,H6.1",Flammable Liquids; Toxic (Poisonous),0.3545,,US,D9,
