"IMPORT OF HAZARDOUS WASTES AND OTHER WASTES IN 2007 
(as provided by Parties)",Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
AT,Y41,halogenated solvents,A3150,3.0,3.0,solvents,430.0,SI,HR,D10,
AT,Y41,halogenated solvents,A3150,3.0,3.0,solvents,5.051,,SI,D10,
AT,Y41,halogenated solvents,A3150,6.1,3.0,solvents,127.0,,IT,D10,
AT,Y42,solvents,A4070 ,4.1,4.1,mixed wastes from garages,220.0,SI,HR,D10,
AT,Y42,solvents,A3140,3.0,3.0,solvents,567.0,,IT,,R1
AT,Y42,solvents,A3140,3.0,3.0,solvents,3.393,,SI,D10,
AT,Y42,solvents,A3160,3.0,3.0,solvent containing residues,1.46,,HU,D10,
AT,Y42,solvents,A3140,3.0,3.0,solvents,216.0,,SI,,R1
AT,Y42,solvents,A3140,3.0,3.0,solvents,929.0,,SI,,R1
AT,Y42,solvents,A3160,3.0,3.0,solvent containing sludge,20.0,,DE,,R1
AT,Y42,solvents,A3160,3.0,3.0,solvents,91.0,,HU,D10,
AT,Y45,halogen compounds,A4130,2.0,12.0,aerosols,30.0,,IT,D10,
AT,Y45,halogen compounds,A3050,6.1,13.0,softener,76.0,,IT,D10,
AT,Y45,halogen compounds,A4160,4.1,12.0,activated carbon,259.0,,CZ,,R5
AT,Y45,halogen compounds,A4160,4.1,12.0,activated carbon,34.0,,HU,,R5
AT,Y46,wastes from households,,,,pre-treated wastes,67.0,,SI,,R3
AT,Y46,wastes from households,,,,bulky wastes,105.0,,SI,,R3
AT,Y46,wastes from households,,,,household wastes,320.0,,DE,,R12
AT,Y46,wastes from households,,,,sorted waste,6.488,,DE,,R1
AT,Y46,wastes from households,,,,sorted waste,5.285,,DE,,R3
AT,Y46,wastes from households,,,,kitchen waste,580.0,,HU,,R3
AT,Y46,wastes from households,,,,kitchen waste,3848.0,,SI,,R3
AT,Y46,wastes from households,,,,grease trap content,93.0,,HU,,R3
AT,Y46,wastes from households,,,,grease trap content,118.0,,DE,,R3
AT,Y47,residues from waste incineration,A4100,,13.0,fly ash from co-incineration,11.595,,DE,,R5
AU,"Y31,Y34",Used lead acid batteries,A1160,"6.1,8","H6.1,H8",,375.0,,WS,,R4
AU,Y1,Clinical waste,A4020,"6.2,9","H6.2,H11",,190.0,,NZ,,D10
AU,Y42,Lithium batteries,A1170,9.0,H10,,40.0,,TL,D5,
AU,Y42,Lithium batteries,A1170,9.0,H10,,40.0,,SB,D5,
AU,Y13,resins and organic solvents,A3050,9,H12,,540,,NZ,,R2
AU,Y29,Waste fluorescent tubes and lamps containing mercury,A1180,9,"H11,H12",,25,,NZ,,"R4,R5"
AU,Y31,Galvanizers ash,A1020,"6.1,8","H6.1,H8",,126,,NZ,,R4
AU,Y31,Waste cathode ray tubes,A2010,"6.1,9","H6.1,H11,H12",,900,,NZ,,R5
AU,Y31,Waste zinc residues,A1080,9,"H11,H12",,415,,NZ,,R4
AU,Y42,used lithium batteries,A1170,9,H10,,3,,PG,D5,
AZ,Y_,Wastes of ethylene polymers,,3915.0,H4.1,,20.4,,IR,,R11
BE,Y31,,,,H11,,464.76,,NL,,R4
BE,Y1,,,,,,9.56,,LU,D10,
BE,Y1,,,,H6.2,,416.636553,,IE,D10,
BE,Y1,,,,H6.2,,28.591,,LU,D10,
BE,Y1,,,,H6.2,,324.24,,PT,D10,
BE,Y2,,,,,,371.84,,FR,D9,
BE,Y2,,,,,,853.46,,IE,D10,
BE,Y2,,,,,,28.12,,NL,D10,
BE,Y2,,,,H3,,5862.547954,,IE,D10,
BE,Y2,,,,H3,,5.72,,PT,D10,
BE,Y2,,,,H4.1,,426.52,,IE,D10,
BE,Y2,,,,H6.1,,249.16,,GR,D10,
BE,Y2,,,,H6.1,,668.7971269999999,,IE,D10,
BE,Y2,,,,H6.1,,66.66,,MT,D10,
BE,Y2,,,,H6.1,,119.38,,NL,D10,
BE,Y2,,,,H8,,6.24,,IE,D9,
BE,Y2,,,,H8,,17.74,,NL,D10,
BE,Y2,,,,H8,,14.178333,,PT,D10,
BE,Y3,,,,H13,,90.02,,LU,D10,
BE,Y3,,,,H6.1,,277.5,,PT,D10,
BE,Y3,,,,H6.2,,36.88,,PT,D10,
BE,Y4,,,,H12,,29.65,,NL,D10,
BE,Y4,,,,H12,,246.84,,FR,,R12
BE,Y4,,,,H3,,38.84,,GR,D10,
BE,Y4,,,,H5.1,,1.496,,LU,D10,
BE,Y4,,,,H6.1,,26.7,,LU,D10,
BE,Y4,,,,H6.1,,15.66,,NL,D10,
BE,Y5,,,,,,876.414544,,NL,,R1
BE,Y5,,,,,,1320.6204050000001,,DE,,R3
BE,Y5,,,,,,66525.104719,,NL,,R3
BE,Y5,,,,,,94.78,,NL,,R12
BE,Y5,,,,,,592.1,,NL,,R13
BE,Y5,,,,H4.1,,4794.536866,,NL,,R3
BE,Y5,,,,H6.1,,3515.420235,,NL,,R3
BE,Y5,,,,H6.1,,300.14285600000005,,NL,,R13
BE,Y6,,,,,,15.7,,LU,D14,
BE,Y6,,,,,,6.3,,DE,,R3
BE,Y6,,,,,,507.269459,,DE,,R4
BE,Y6,,,,H2,,3.437,,NL,,R3
BE,Y6,,,,H3,,1131.22,,CH,D10,
BE,Y6,,,,H3,,27.62,,LU,D10,
BE,Y6,,,,H3,,3625.0407400000004,,NL,D10,
BE,Y6,,,,H3,,44.34,,PT,D10,
BE,Y6,,,,H3,,6.49,,LU,,R2
BE,Y6,,,,H3,,20.897,,NL,,R2
BE,Y6,,,,H3,,61.693,,NL,,R3
BE,Y6,,,,H3,,1169.57,,DE,,R4
BE,Y6,,,,H4.1,,3261.418252,,FR,D10,
BE,Y6,,,,H4.1,,83.3,,NL,D10,
BE,Y6,,,,H4.1,,81.55793700000001,,NL,,R2
BE,Y6,,,,H4.1,,133.924,,DE,,R4
BE,Y6,,,,H5.1,,18.544,,DE,,R4
BE,Y6,,,,H6,,9.016,,NL,,R2
BE,Y6,,,,H6.1,,36.28,,CY,D10,
BE,Y6,,,,H6.1,,52.72,,GR,D10,
BE,Y8,,,,,,45.71,,NL,,R3
BE,Y8,,,,,,31.74,,NL,,R4
BE,Y8,,,,,,150.021,,NL,,R12
BE,Y8,,,,H12,,56.52,,NL,D10,
BE,Y8,,,,H12,,21.02,,DE,,R3
BE,Y8,,,,H13,,209.517,,LU,D10,
BE,Y8,,,,H3,,34.12,,NL,D10,
BE,Y8,,,,H3,,24.08,,GB,,R4
BE,Y8,,,,H3,,67.9,,LU,,R13
BE,Y8,,,,H4.1,,3045.856,,FR,D9,
BE,Y9,,,,,,2025.1325279999999,,FR,D9,
BE,Y9,,,,,,888.66,,LU,D9,
BE,Y9,,,,,,349.171111,,NL,D9,
BE,Y9,,,,,,810.085637,,NL,,R4
BE,Y9,,,,,,555.76,,FR,,R12
BE,Y9,,,,H12,,90.18,,LU,D9,
BE,Y9,,,,H12,,25.98,,NL,D10,
BE,Y9,,,,H12,,1977.942785,,FR,,R4
BE,Y9,,,,H3,,810.44,,NL,D9,
BE,Y9,,,,H4.1,,866.748,,NL,,R4
BE,Y10,,,,,,16.6,,NL,D10,
BE,Y10,,,,H11,,21.78,,FR,D10,
BE,Y10,,,,H11,,47.22,,GR,D10,
BE,Y10,,,,H11,,21.28,,LT,D10,
BE,Y10,,,,H11,,16.9,,LU,D10,
BE,Y10,,,,H11,,116.431,,PL,D10,
BE,Y10,,,,H11,,689.866513,,FR,,R4
BE,Y10,,,,H11,,5.32,,IE,,R4
BE,Y10,,,,H11,,7.858,,LU,,R4
BE,Y10,,,,H11,,7.36,,PL,,R12
BE,Y10,,,,H12,,91.469,,CO,,R4
BE,Y10,,,,H12,,5.472,,IE,,R4
BE,Y10,,,,H12,,91.1,,KR,,R4
BE,Y10,,,,H12,,85.26,,VE,,R4
BE,Y11,,,,,,748.52,,NL,D10,
BE,Y11,,,,H6.1,,1124.4333330000002,,NL,D10,
BE,Y11,,,,H7,,1194.3,,NL,,R12
BE,Y12,,,,,,1291.75,,FR,D9,
BE,Y12,,,,,,49.54,,IE,D9,
BE,Y12,,,,,,95.16,,NL,D10,
BE,Y12,,,,,,25.935,,AT,,R3
BE,Y12,,,,,,32.0,,LU,,R5
BE,Y12,,,,,,958.651921,,FR,,R12
BE,Y12,,,,,,225.795,,NL,,R12
BE,Y12,,,,H13,,55.331,,LU,D10,
BE,Y12,,,,H3,,36.37,,IE,D10,
BE,Y12,,,,H3,,906.88,,IT,D10,
BE,Y12,,,,H4.1,,2826.26,,IT,D10,
BE,Y12,,,,H4.1,,235.52,,LU,D10,
BE,Y12,,,,H4.2,,104.1,,NL,D10,
BE,Y12,,,,H6.1,,123.56,,GR,D10,
BE,Y12,,,,H61,,10.68,,NL,D10,
BE,Y12,,,,H8,,3057.785464,,DE,,R6
BE,Y13,,,,,,1488.8714280000002,,NL,D8,
BE,Y13,,,,,,490.14,,NL,D9,
BE,Y13,,,,,,4.2,,LU,D10,
BE,Y13,,,,,,17.1,,NL,D10,
BE,Y13,,,,,,377.0775,,FR,,R3
BE,Y13,,,,H3,,192.310476,,NL,D9,
BE,Y13,,,,H3,,7.94,,LU,D10,
BE,Y13,,,,H6.1,,86.28,,NL,D9,
BE,Y13,,,,H6.1,,14.42,,PT,D10,
BE,Y13,,,,H8,,275.0,,NL,D10,
BE,Y13,,,,H8,,87.92,,NL,,R1
BE,Y14,,,,,,12.28,,LU,D10,
BE,Y14,,,,H3,,10.22,,LU,D10,
BE,Y14,,,,H3,,55.903332999999996,,NL,D10,
BE,Y14,,,,H4.1,,6.6,,LU,D10,
BE,Y15,,,,,,8.16,,GR,D10,
BE,Y15,,,,H12,,7.835,,LU,,R4
BE,Y16,,,,,,152.448,,NL,D15,
BE,Y16,,,,,,3.318375,,LU,,R4
BE,Y16,,,,,,301.398,,NL,,R4
BE,Y16,,,,,,4.856,,LU,,R12
BE,Y16,,,,,,482.681,,NL,,R12
BE,Y16,,,,,,86.028302,,LU,,R13
BE,Y16,,,,H11,,43.506,,LU,D10,
BE,Y16,,,,H11,,0.98,,LU,,R4
BE,Y16,,,,H12,,165.978,,FR,,R4
BE,Y16,,,,H13,,3.746,,LU,D10,
BE,Y16,,,,H13,,19.308,,LU,,R4
BE,Y16,,,,H3,,0.413,,LU,D15,
BE,Y17,,,,,,1247.88,,FR,D9,
BE,Y17,,,,,,251.46,,DE,,R4
BE,Y17,,,,,,25.72,,FR,,R4
BE,Y17,,,,,,62.417,,US,,R4
BE,Y17,,,,,,19353.025779,,NL,,R13
BE,Y17,,,,H12,,133.74,,IE,,R4
BE,Y17,,,,H12,,49.183,,MY,,R4
BE,Y17,,,,H12,,44.972,,FR,,R12
BE,Y17,,,,H13,,2.88,,LU,D9,
BE,Y17,,,,H13,,40.78,,IE,,R4
BE,Y17,,,,H4.2,,10.324,,TR,,R4
BE,Y17,,,,H4.3,,1569.152,,FR,,R13
BE,Y17,,,,H6.1,,215.48,,DE,,R4
BE,Y17,,,,H6.1,,63.402,,NL,,R4
BE,Y17,,,,H8,,298.66,,IE,D9,
BE,Y17,,,,H8,,19.62,,DE,,R4
BE,Y18,,,,H12,,782.34,,FR,,R5
BE,Y18,,,,,,1007.87818,,FR,D8,
BE,Y18,,,,,,135.22,,FR,D9,
BE,Y18,,,,,,10141.658638,,NL,D9,
BE,Y18,,,,,,4532.266857,,NL,,R3
BE,Y18,,,,,,3.76,,BR,,R4
BE,Y18,,,,,,797.511,,DE,,R4
BE,Y18,,,,,,40.0,,PT,,R4
BE,Y18,,,,,,20.711,,TR,,R4
BE,Y18,,,,,,1208.5615930000001,,US,,R4
BE,Y18,,,,,,356.52,,ZA,,R4
BE,Y18,,,,,,4214.038594,,FR,,R5
BE,Y18,,,,,,9251.726969000001,,NL,,R5
BE,Y18,,,,,,2.65,,DE,,R7
BE,Y18,,,,,,1444.104033,,FR,,R7
BE,Y18,,,,,,29.05,,GB,,R7
BE,Y18,,,,,,26.34,,NL,,R7
BE,Y18,,,,,,1902.04,,IT,,R8
BE,Y18,,,,,,2455.3126740000002,,NL,,R12
BE,Y18,,,,,,28.96,,NL,,R13
BE,Y18,,,,H12,,21.96,,DE,,R3
BE,Y18,,,,H12,,945.0,,FR,,R5
BE,Y18,,,,H12,,6554.705,,NL,,R5
BE,Y18,,,,H12,,273.90988,,FR,,R12
BE,Y18,,,,H12,,10837.2,,NL,,R12
BE,Y18,,,,H13,,1611.76,,GB,,R4
BE,Y18,,,,H3,,130.935,,LU,,R3
BE,Y18,,,,H3,,204.64,,LU,,R4
BE,Y18,,,,H4.1,,1986.85,,NL,D10,
BE,Y18,,,,H4.2,,57.88,,IT,,R8
BE,Y18,,,,H4.2,,75.779,,LU,,R8
BE,Y18,,,,H4.2,,541.888,,NL,,R8
BE,Y18,,,,H4.2,,1605.341369,,US,,R8
BE,Y18,,,,H6.1,,101.737,,US,,R4
BE,Y18,,,,H6.1,,1611.42,,NL,,R5
BE,Y18,,,,H6.1,,2294.599,,SK,,R8
BE,Y18,,,,H8,,1769.7682,,FR,,R4
BE,Y18,,,,H8,,2101.122739,,IE,,R4
BE,Y18,,,,H8,,205.43,,ZA,,R4
BE,Y18,,,,H8,,164.666666,,IL,,R13
BE,Y18,,,,H99,,35.94,,GB,,R7
BE,Y22,,,,,,135.846,,BR,,R4
BE,Y22,,,,,,380.611388,,CH,,R4
BE,Y22,,,,,,6142.473798999999,,DE,,R4
BE,Y22,,,,,,64.62,,DK,,R4
BE,Y22,,,,,,1674.18125,,FR,,R4
BE,Y22,,,,,,235.175,,GB,,R4
BE,Y22,,,,,,5951.404366999999,,IT,,R4
BE,Y22,,,,,,1456.86,,NL,,R4
BE,Y22,,,,,,59.6075,,TH,,R4
BE,Y22,,,,,,2022.168554,,UA,,R4
BE,Y22,,,,,,6358.572575,,US,,R4
BE,Y22,,,,H11,,386.022,,DE,,R4
BE,Y22,,,,H11,,672.339459,,FR,,R4
BE,Y22,,,,H12,,51.598,,BR,,R4
BE,Y22,,,,H12,,619.949,,BY,,R4
BE,Y22,,,,H12,,1933.430756,,US,,R4
BE,Y22,,,,H13,,36.663,,SE,,R4
BE,Y22,,,,H4.1,,1724.570666,,NL,,R12
BE,Y23,,,,,,280.33,,DE,,R4
BE,Y23,,,,,,179.886666,,GB,,R4
BE,Y23,,,,,,389.661,,IT,,R4
BE,Y23,,,,H11,,358.354284,,AT,,R4
BE,Y23,,,,H11,,551.26,,AU,,R4
BE,Y23,,,,H11,,19.34,,GB,,R4
BE,Y23,,,,H12,,719.88,,FR,,R4
BE,Y23,,,,H12,,403.476922,,GB,,R4
BE,Y23,,,,H12,,348.91,,GR,,R4
BE,Y23,,,,H12,,2308.28,,IT,,R4
BE,Y23,,,,H12,,1061.026,,US,,R4
BE,Y23,,,,H13,,133.919,,IE,,R4
BE,Y23,,,,H3,,238.13,,IE,D10,
BE,Y23,,,,H4.3,,3102.514,,IT,,R4
BE,Y25,,,,,,5.673,,AU,,R4
BE,Y25,,,,H12,,634.927,,JP,,R4
BE,Y25,,,,H6.1,,227.16,,DE,,R4
BE,Y26,,,,,,4.76,,FR,,R13
BE,Y26,,,,H6.1,,5.517,,DE,,R4
BE,Y29,,,,,,2.99,,IE,,R4
BE,Y29,,,,,,0.22,,PT,,R4
BE,Y29,,,,,,12.409,,LU,,R5
BE,Y29,,,,H11,,26.187845000000003,,NL,D9,
BE,Y29,,,,H11,,104.336,,FR,,R4
BE,Y29,,,,H11,,21.558,,NL,,R4
BE,Y29,,,,H11,,162.134,,FR,,R5
BE,Y29,,,,H11,,791.525,,DE,,R12
BE,Y29,,,,H12,,370.581,,DK,,R4
BE,Y29,,,,H13,,74.332,,LU,,R4
BE,Y29,,,,H6.1,,35.53,,NL,D10,
BE,Y29,,,,H6.1,,20.162,,GR,,R4
BE,Y29,,,,H8,,0.701,,IE,,R4
BE,Y29,,,,H8,,2.138,,LU,,R4
