"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code",Column 13,Column 14,Column 15
AT,Y6,waste from use of solvents,,-,13,break fluid,221.96,,DE,,R12,,,
AT,Y6 ,waste from use of solvents,A3150,6.1,11,tetrachloroethylene,24.19,,DE,,R13,,,
AT,Y6 ,waste from use of solvents,A3140,3,3,solvent mixtures,5.01,,DE,,R13,,,
AT,Y6 ,waste from use of solvents,A3140,3,3,solvent mixtures,511.06,,DE,,R2,,,
AT,Y6 ,waste from use of solvents,A3140,3,3,solvent mixtures,229.65,DE,NL,,R2,,,
AT,Y7,tempering wastes,A4050,6.1,6.1,cyanides,4.4,,DE,D12,,,,
AT,Y8,oily wastes,,9,13,waste from workshops,945.78,,CH,,R1,,,
AT,Y8,oily wastes,,9,13,waste from workshops,60.0,,DE,D10,,,,
AT,Y8,oily wastes,,9,13,waste from workshops,195.07,,DE,,R1,,,
AT,Y8,oily wastes,,9,13,oily waste from polishing,20.8,,DE,,R4,,,
AT,Y8,oily wastes,A3020,9,13,waste oil,22157.47,,DE,,R9,,,
AT,Y8,oily wastes,A3020,9,13,waste oil,403.33,,DE,,R9,,,
AT,Y8,oily wastes,A3020,9,13,waste oil,34.14,,DE,,R9,,,
AT,Y8,oily wastes,A3020,9,13,waste oil,233.8,,SK,,R1,,,
AT,Y11,tar containing wastes,,,13,tar oil impregnated wood,87.76,,DE,,R1,,,
AT,Y11,tar containing wastes,,,13,railway sleepers,302.19,,DE,,R12,,,
AT,Y11,tar containing wastes,,,13,railway sleepers,1109.47,,DE,,R3,,,
AT,Y11,tar containing wastes,,,11,tar residues,35.1,,DE,,R12,,,
AT,Y12,waste from manufacture and use of paints ,A4070,3,13,solvent containing waste,89.68,,DE,D10,,,,
AT,Y12,waste from manufacture and use of paints ,A4070,3,13,paint sludge,241.62,,DE,,R12,,,
AT,Y12,waste from manufacture and use of paints ,A3140,3,13,solvent containing sludge,503.4,,DE,,R12,,,
AT,Y12,waste from manufacture and use of paints ,A3140,3,13,solvent mixtures,122.47,,DE,,R2,,,
AT,Y16,photographic chemicals and processing material,,,12,mixture ,387.06,,DE,,R5,,,
AT,Y17,waste from surface treatment,,5.1,12,nitrates,56.21,,DE,D12,,,,
AT,Y17,waste from surface treatment,A1050,,11,galvanic sludge,3540.62,,DE,,R4,,,
AT,Y17,waste from surface treatment,A1050,,11,sludge from off site treatment,37.45,,DE,,R4,,,
AT,Y17,waste from surface treatment,A1130,6.1,6.1,spent etching solution,51.1,"DE, LU",BE,,R4,,,
AT,Y17,waste from surface treatment,,,13,grinding sludge,599.28,,DE,,R4,,,
AT,Y17,waste from surface treatment,A1130,8,8,copper chloride,119.62,,DE,,R4,,,
AT,Y18,waste from waste treatment,A4100,,11,flue gas cleaning residues,34.2,DE,BE,,R4,,,
AT,Y18,waste from waste treatment,,,13,shredding residues,1569.6,,CH,,R1,,,
AT,Y18,waste from waste treatment,,,13,C/P-treatment residues,35.18,,CH,D10,,,,
AT,Y18,waste from waste treatment,,,13,pre-mixed wastes from workshops,330.84,,DE,,R1,,,
AT,Y18,waste from waste treatment,,,13,shredding residues,2206.12,,DE,D10,,,,
AT,Y18,waste from waste treatment,,,13,shredding residues,1426.86,,DE,,R5,,,
AT,Y18,waste from waste treatment,A4100,,11.0,flue gas cleaning residues,346.84,,DE,,R4,,,
AT,Y18,waste from waste treatment,,4.1,4.1,pre-mixed wastes   ,160.81,,DE,D10,,,,
AT,Y18,waste from waste treatment,A3150,6.1,11,halogenated solvents,3829.81,,DE,D10,,,,
AT,Y18,waste from waste treatment,,,13,C/P-treatment residues,4006.03,,DE,,R12,,,
AT,Y18,waste from waste treatment,,,13,C/P-treatment residues,536.52,,DE,,R1,,,
AT,Y18,waste from waste treatment,,,12,oil containing sludge,447.95,,DE,,R1,,,
AT,Y18,waste from waste treatment,A4100,,6.1,off gas cleaning device,0.42,,DE,,R4,,,
AT,Y18,waste from waste treatment,,4.3,4.3,salt slag,30719.31,,DE,,R4,,,
AT,Y18,waste from waste treatment,,,13,liquid residues from waste treatment,2062.49,,DE,D10,,,,
AT,Y18,waste from waste treatment,,4.1,4.1,residues from mechanical treatment,710.32,,DE,D10,,,,
AT,Y18,waste from waste treatment,,,12,grid chamber content,985.72,,DE,,R5,,,
AT,Y18,waste from waste treatment,,,12,C/P-treatment residues,970.46,"SK, PL",FI,,R4,,,
AT,Y18,waste from waste treatment,A2010,,11,monitor glas,2212.96,CZ,DE,,R5,,,
AT,Y18,waste from waste treatment,,4.3,4.3,salt slag,16238.01,DE,FR,,R4,,,
AT,Y22,copper bearing wastes,A1100,,11,filöter dust,180.38,DE,BE,,R4,,,
AT,Y22,copper bearing wastes,A2030,,13,spent catalysts,162.23,,DE,,R8,,,
AT,Y22,copper bearing wastes,,,11,metal sludge,41.48,,DE,,R4,,,
AT,Y22,copper bearing wastes,A1050,,13,galvanic sludge,21.48,,DE,,R4,,,
AT,Y23,zinc bearing wastes,A1100,,11,filter dusts,287.16,DE,BE,,R4,,,
AT,Y23,zinc bearing wastes,A4100,,11,steel mill dust,6262.62,CZ,PL,,R4,,,
AT,Y23,zinc bearing wastes,A1170,8,13,unsorted batteries,1330.73,,DE,,R4,,,
AT,Y23,zinc bearing wastes,A4100,8,13,filter dusts,0.88,,DE,,R4,,,
AT,Y23,zinc bearing wastes,A1100,,11,filter dusts,46.85,,DE,,R4,,,
AT,Y23,zinc bearing wastes,A1060,8,8,pickling solution,506.1,,DE,,R4,,,
AT,Y23,zinc bearing wastes,A1060,8,8,pickling solution,1553.95,,DE,,R5,,,
AT,Y23,zinc bearing wastes,A4100,,11,filter dusts,83.9,,DE,,R4,,,
AT,Y23,zinc bearing wastes,A4100,9,13,blast furnace gas sludge,1040.57,,DE,,R4,,,
AT,Y23,zinc bearing wastes,A4100,,11,steel mill dust,91627.88,,DE,,R4,,,
AT,Y26,cadmium bearing wastes,A1170,8,11,accumulators,209.27,DE,FR,,R4,,,
AT,Y26,cadmium bearing wastes,A1170,8,11,unsorted batteries,67.46,,DE,,R4,,,
AT,Y29,mercury bearing wastes,A1180,,13,displays,126.0,CZ,DE,,R12,,,
AT,Y29,mercury bearing wastes,A1170,8,11,round cells,9.78,,DE,,R4,,,
AT,Y29,mercury bearing wastes,A1170,8,11,round cells,0.19,CZ,DE,,R4,,,
AT,Y29,mercury bearing wastes,A1170,8,11,round cells,0.66,,DE,,R13,,,
AT,Y29,mercury bearing wastes,A4020,8.0,11.0,amalgam,1.72,,DE,,R4,,,
AT,Y29,mercury bearing wastes,A4020,8.0,11.0,amalgam,0.41,,DE,,R13,,,
AT,Y29 ,mercury bearing wastes,A1030 ,,12.0,mercury containing equipment,0.99,,DE,,R4,,,
AT,Y29 ,mercury bearing wastes,A1180,,H13,fluorescent tubes,118.69,,DE,,R5,,,
AT,Y29,mercury bearing wastes,A1030 ,,H13,activated carbon,1.5,DE,NL,,R4,,,
AT,Y31,lead bearing wastes,A1100,6.1,11.0,filter dusts,2621.39,DE,BE,,R4,,,
AT,Y31,lead bearing wastes,A1120+D232,,11,sludge   ,689.16,DE,BE,,R4,,,
AT,Y31,lead bearing wastes,A1160,8,11,lead acid batteries,120.33,,DE,,R13,,,
AT,Y31,lead bearing wastes,A1160,8,11,lead acid batteries,2964.7,,DE,,R4,,,
AT,Y31,lead bearing wastes,A1020,,12,ceramics,33.817,,DE,,R4,,,
AT,Y31,lead bearing wastes,A4100,,11 ,steel mill dust,657.14,,DE,,R4,,,
AT,Y31,lead bearing wastes,A1020,,12,contaminated packaging,13.512,,DE,,R4,,,
AT,Y31,lead bearing wastes,A1020,,12,sludge,30.76,,DE,,R4,,,
AT,Y31,lead bearing wastes,A1180,,11,monitors,90.72,,DE,,R4,,,
AT,Y31,lead bearing wastes,A2010,,11,X-ray tubes,2898.19,CZ,DE,,R5,,,
AT,Y31,lead bearing wastes,A2010,,11,X-ray tubes,4407.89,,DE,,R5,,,
AT,Y33,inorganic cyanides,A4050,6.1,6.1,hardening salts,13.5,,DE,D12,,,,
AT,Y34,acids,A4090,8,8,acids,349.58,,DE,,R6,,,
AT,Y34,acids,A4090,8,8,oil containing acid,46.5,,DE,,R5,,,
AT,Y35,bases,,8,8,caustic lime,44.0,,DE,D12,,,,
AT,Y35,bases,,8,8,liquid rosin ,1023.95,CZ,PL,,R3,,,
AT,Y35,bases,A1170,8,8,Ni-MeH batteries,46.86,,DE,,R4,,,
AT,Y36,asbestos,A4130,2,11,acetylene gas cylinder,67.81,,DE,,R4,,,
AT,Y36,asbestos,A2050,9,11,construction material,3.26,,DE,D1,,,,
AT,Y36,asbestos,A1180,,11,electrical equipment,17.86,,DE,,R4,,,
AT,Y39,phenoles,A3070,6.1,6.1,chlorophenols,109.38,,DE,,R5,,,
AT,Y41 ,halogenated solvents,A3150,6.1,6.1,solvent containing sludge,26.7,DE,BE,,R2,,,
AT,Y41 ,halogenated solvents,A3160,6.1,6.1,solvent containing sludge,42.02,,DE,,R2,,,
AT,Y42,solvents,A3140,3,3,sovent containing sludge,6.7,DE,BE,,R2,,,
AT,Y42,solvents,A3140,3,3,solvents,38.404,,DE,,R2,,,
AT,Y42,solvents,,4.1,13,contaminated paper,15.44,,DE,,R4,,,
AT,Y42,solvents,,4.1,13,solvent bearing precious metals sludge,0.37,,DE,,R4,,,
AT,Y42,solvents,A3140,,13,solvent-water mixtures,259.3,,DE,,R5,,,
AT,Y42,solvents,A3140,,13,solvent-water mixtures,2432.17,,DE,D10, ,,,
AT,Y42,solvents,A3140,,13,solvent-water mixtures,25.0,LI,CH, ,R13,,,
AT,Y42,solvents,A3140,3,3,solvent mixtures,427.28,,DE, ,R2,,,
AT,Y42,solvents,A3140,3,3,solvent mixtures,407.58,CZ,DE, ,R2,,,
AT,Y45,organo-halogen compounds,,2,12,CFCs,123.92,,DE,D10,,,,
AT,Y45,organo-halogen compounds,,2,12,CFCs,32.42,,DE,,R3,,,
AT,Y45,organo-halogen compounds,A1180,,12,refrigerators,70.48,,DE,,R4,,,
AT,Y45,organo-halogen compounds,A4030 ,6.1,6.1,residues from pesticide production,62.98,,DE,,R5,,,
AT,Y47,residues from waste incineration,A4100,,13,fly ash,2425.26,,DE,D12,,,,
AT,Y47,residues from waste incineration,A4100,,13,residues from flue gas cleaning,2557.84,,DE,D14,,,,
AT,Y47,residues from waste incineration,A4100,,13,fly ash,2926.75,,DE,,R11,,,
AT,Y47,residues from waste incineration,A4100,,13,residues from flue gas cleaning,473.38,,DE,,R11,,,
AT,Y47,residues from waste incineration,A4100,,13,fly ash,8279.55,,DE,,R5,,,
AT,Y46,waste from households,,,,mixed solid waste,4270.53,,DE,D10,,,,
AT,Y46,waste from households,,,,mixed solid waste,5866.99,,DE,,R11,,,
AT,Y46,waste from households,,,,mixed solid waste,2394.6,,DE,,R13,,,
AT,Y46,waste from households,,,,bulky wastes,1151.87,,DE,,R3,,,
AT,Y46,waste from households,,,,light fraction from packaging waste,1109.92,,DE,,R3,,,
AT,Y46,waste from households,,,,kitchen waste,132.88,,DE,,R3,,,
AT,Y46,waste from households,,,,mixed waste,91.44,,DE,,R5,,,
AT,Y46,waste from households,,,,"waste from households, partly sorted",24293.83,,CH,D10,,,,
AT,Y46,waste from households,,,,"waste from households, partly sorted",36044.57,,CH,,R1,,,
AT,Y47,residues from waste incineration,,,,scrap from slag treatment,591.0,,DE,,R4,,,
AT,Y47,residues from waste incineration,,,,scrap from slag treatment,715.47,,DE,,R12,,,
AT,Y47,residues from waste incineration,A4100,,,fly ash,4496.65,,DE,,R11,,,
AT,Y__,notified non hazardous wastes others than Y46 and Y47,B3020,,,waste paper,758.1,"SK,HU",RS,,R3,,,
AT,Y__,notified non hazardous wastes others than Y46 and Y47,B1010,,,copper scrap,154.0,"HU, BG",RO,,R4,,,
AT,Y__,notified non hazardous wastes others than Y46 and Y47,B1010,,,copper scrap,562.66,DE,PL,,R4,,,
AT,Y__,notified non hazardous wastes others than Y46 and Y47,B1010,,,copper scrap,21.841,"SI, HR",RS,,R4,,,
AT,Y__,notified non hazardous wastes others than Y46 and Y47,B1010,,,aluminium scrap,353.53,DE,PL,,R4,,,
AT,Y__,notified non hazardous wastes others than Y46 and Y47,B1010,,,aluminium scrap,1762.21,HU,RO,,R4,,,
AT,Y__,notified non hazardous wastes others than Y46 and Y47,B3010,,,sorted plastics,23.12,"SI, HR",RS,,R3,,,
AT,Y__,notified non hazardous wastes others than Y46 and Y47,A4140,2,,fire extinguisher,47.53,,DE,,R4,,,
AT,Y__,notified non hazardous wastes others than Y46 and Y47,B1100,,,aluminium skimmings,1448.24,HU,RO,,R4,,,
AT,Y1,notified non hazardous wastes others than Y46 and Y47,A4020,,,desinfected waste,993.87,,CH,,R1,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,B3010,,,sorted plastics,1305.9,"HU, RO",BG,,R3,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,rejects from paper mills,6195.53,,CH,D10,,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,RDF,4341.01,,CH,,R1,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,RDF,7233.06,,CH,,R12,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,RDF,28605.35,,CZ,,R1,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,A3120,,,FLUFF (not hazardous),545.98,,DE, ,R12,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,FLUFF (not hazardous),485.88,,DE, ,R3,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,heavy fraction from shredding,11987.83,,DE,,R4,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,shredding residues,2701.36,,DE,,R4,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,scrap from mechanical treatment,1199.5,,DE,,R4,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,B3010,,,sorted plastics,60.52,,SK,,R3,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,B3010,,,sorted plastics,188.84,CZ,PL,,R3,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,rejects from paper mills,1337.37,CZ,DE,,R11,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,fiber sludge from papaer mills,7012.16, ,DE,,R3,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,sorted wood waste,1002.5,,DE,,R1,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,recovered non hazardous chemicals,33.75,,DE,,R5,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,RDF,9380.78,,DE,,R12,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,RDF,2919.96,,DE,,R1,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,residues from waste treatment,578.38,,DE,,R3,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,B3010,,,plastics,118.14,HU,RS,,R3,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,RDF,2835.95,,SI ,,R1,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,RDF,7148.38,HU,RO,,R12,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,residues from waste treatment,47.62,,DE,,R4,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,RDF,102399.66,,SK,,R1,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,sorted wood,13.65,,IT,,R3,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,B3020,,,paper waste,4787.42,CZ,PL,,R3,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,B3020,,,paper waste,3351.755,"SK, HU",RS,,R3,,,
AT,Y18,notified non hazardous wastes others than Y46 and Y47,,,,RDF,22799.87,,SK,,R12,,,
AT,Y22,notified non hazardous wastes others than Y46 and Y47,A1050,,,non hazardous sludge,1229.61,,DE,,R4,,,
AT,Y412,halogenated solvents,A3150,6.1,6.1,trichloroethene,20.03,,DE,,R2,,,
AT,Y11,tar containing wastes,A1190,,11,tar containing cables,729.65,,DE,,R4,,,
AT,Y11,tar containing wastes,A3200,,11,construction waste,1164.78,,DE,,R5,,,
AT,Y__,notified non hazardous wastes others than Y46 and Y47,B3140,,,used tires,23.65,"SI, HI",BA,,R3,,,
AU,Y3,Expired Carboplatin Cytotoxic Medicine,A4140,6.1,"H6.1, H11, H12",,2.64,HK,DE,,R4,,,
AU,"Y24, Y27, Y28, Y30",Spent Catalyst,A2030,4.2,H4.2,,15.0,"SG, LK, OM, EG, GB",NL,,R4,,,
AU,Y31,Solder Dross,A1020,6.1,"H6.1, H11, H12",,60.0,"SG, EG, NL",BE,,R4,,,
AU,Y31,Silver Sand,A1020,9.0,H12,,2000.0,"SG, EG ",KR,,R4,,,
AZ,"Y17,Y23",,"B1080,B1100",9,H12,,846.20,"CN, RU,TR",,D15,R4,,,
BB,Y__,Charcoal,A4140,4.1,H4.1,Solid,0.033,US,CA,D10,,,,
BB,Y__,Lithium Aluminium Hydride,A4140,4.3,H4.3,Solid,0.003,US,CA,D10,,,,
BB,Y__,Magnesium Alloys,A4140,4.2|4.3,H4.2|H4.3,Solid,0.021,US,CA,D10,,,,
BB,Y__,Sodium Borohydride,A4140,4.3,H4.3,Solid,0.006,US,CA,D10,,,,
BB,Y4,Brucine,A4140,6.1,H6.1,Liquid,0.003,US,CA,D10,,,,
BB,Y41,Dichloromethane,A4140,6.1,H6.1,Liquid,0.195,US,CA,D10,,,,
BB,Y__,Sodium Azide,A4140,6.1,H6.1,Solid,0.006,US,CA,D10,,,,
BB,Y34,Aluminum Chloride,A4140,8,H8,Solid,0.006,US,CA,D10,,,,
BB,Y34,Bromine Solutions,A4140,6.1|8,H6.1|H8,Liquid,0.003,US,CA,D10,,,,
BB,Y34,Perchloric Acid,A4140,5.1|8,H5.1|H8,Liquid,0.129,US,CA,D10,,,,
BB,Y34,Phosphorous Pentoxide,A4140,8,H8,Solid,0.027,US,CA,D10,,,,
BB,Y34,Titanium Tetrachloride,A4140,6.1|8,H6.1|H8,Liquid,0.009,US,CA,D10,,,,
BB,"Y6,Y39,Y42",Toxic Flammable Liquids - Various Organic Solvents,A4140,3|6.1,H3|H6.1,Liquid,0.369,US,CA,D10,,,,
BB,"Y6,Y42",Flammable Liquids - Various Organic Solvents,A4140,3,H3,Liquid,1.683,US,CA,D10,,,,
BB,Y4,Toxic Pesticides,A4140,6.1,H6.1,Solid,5.686,US,CA,D10,,,,
BB,"Y34,Y40",Boron Trifluoride Diethyl Etherate,A4140,3|8,H3|H8,Liquid,0.003,US,CA,D10,,,,
BB,"Y35,Y42","Amines, Flammable, Corrosive - Triethylamine",A4140,3|8,H3|H8,Liquid,0.048,US,CA,D10,,,,
BB,Y34,Acetic Acid Solution Waste,A4140,8,H8,Liquid,0.219,US,CA,D10,,,,
BB,"Y6,Y39,Y41,Y42",Toxic Organic Liquid Waste - Halogenated solids,A4140,6.1,H6.1,Liquid,0.237,US,CA,D10,,,,
BB,"Y21,Y39",Organic Solid Waste - Poisonous solids,A4140,6.1,H6.1,Solid,0.270,US,CA,D10,,,,
BB,Y4,Liquid Pesticides,A4140,3|6.1,H3|H6.1,Liquid,0.426,US,CA,D10,,,,
BB,"Y34,Y42","Flammable Corrosive Liquid Waste - sulphuric acid, methanol",A4140,3|8,H3|H8,Liquid,0.042,US,CA,D10,,,,
BB,"Y34,Y42",Corrosive Flammable Liquids - Acidic flammable liquids,A4140,3|8,H3|H8,Liquid,0.303,US,CA,D10,,,,
BB,"Y6,Y41","Toxic Corrosive Organic Liquids - Chloroform, Methylene",A4140,6.1|8,H6.1|H8,Liquid,0.054,US,CA,D10,,,,
BB,Y31,"Environmentally Hazardous Substances - Bromocresol, Lead Acetate",A4140,__,H13,Solid,0.288,US,CA,D10,,,,
BB,Y42,"Waste solids containing flammable liquid - Silicone, Acetone",A4140,4.1,H4.1,Solid,0.285,US,CA,D10,,,,
BB,Y__,"Waste Flammable Solid - Magenta, Magnesium",A4140,4.1,H4.1,Solid,0.021,US,CA,D10,,,,
BB,Y35,"Waste amines, solid, corrosive - Diphenylamine, Naphthylamine",A4140,8,H8,Solid,0.018,US,CA,D10,,,,
BB,Y34,"Waste corrosive liquid, acid, organic - Organic Acids",A4140,8,H8,Liquid,0.045,US,CA,D9,,,,
BB,"Y21,Y34",Anhydrous Chromium Trioxide,A4140,5.1|6.1|8,H5.1,Liquid,0.030,US,CA,D9,,,,
BB,Y__,Ferric Nitrate,A4140,5.1,H5.1,Solid,0.054,US,CA,D9,,,,
BB,Y__,"Waste Inorganic Nitrates - Sodium Nitrate, Potassium",A4140,5.1,H5.1,Solid,0.009,US,CA,D9,,,,
BB,Y__,Oxidising solid waste - Oxidizing Nitrates,A4140,5.1,H5.1,Solid,0.012,US,CA,D9,,,,
BB,Y__,Potassium Permanganate waste,A4140,5.1,H5.1,Solid,0.051,US,CA,D9,,,,
BB,Y__,Silver Nitrate Waste,A4140,5.1,H5.1,Solid,0.021,US,CA,D9,,,,
BB,Y__,Sodium Nitrate waste,A4140,5.1,H5.1,Solid,0.015,US,CA,D9,,,,
BB,Y24,Arsenic Trichloride,A4140,6.1,H6.1,Liquid,0.003,US,CA,D9,,,,
BB,Y24,Arsenic Trioxide,A4140,6.1,H6.1,Solid,0.006,US,CA,D9,,,,
BB,Y33,Inorganic Cyanides,A4140,6.1,H6.1,Solid,0.042,US,CA,D9,,,,
BB,Y29,Mercuric Nitrate,A4140,6.1,H6.1,Solid,0.006,US,CA,D9,,,,
BB,Y33,Sodium Cyanide,A4140,6.1,H6.1,Solid,0.321,US,CA,D9,,,,
BB,Y34,Antimony Trichloride,A4140,8,H8,Liquid,0.003,US,CA,D9,,,,
BB,Y34,Corrosive Liquids - Various Acids,A4140,8,H8,Liquid,0.204,US,CA,D9,,,,
BB,Y33,"Cyanide solutions - Calcium Thiocyanide, Calcium",A4140,6.1,H6.1,Liquid,0.006,US,CA,D9,,,,
BB,Y29,Mercury Compounds,A4140,6.1,H6.1,Solid,0.069,US,CA,D9,,,,
BB,"Y21,Y29,Y34",Corrosive Liquids - Acidic Toxic Liquids,A4140,6.1|8,H6.1|H8,Liquid,0.366,US,CA,D9,,,,
BB,"Y21,Y31","Toxic Oxidizing Solids - Chromium Trioxide, Lead Dioxide",A4140,5.1|6.1,H5.1|H6.1,Solid,0.006,US,CA,D9,,,,
BB,"Y21,Y31",Oxidizing Solid Toxic - Oxidizing Solids,A4140,5.1|6.1,H5.1|H6.1,Solid,0.030,US,CA,D9,,,,
BB,"Y21,Y31",Oxidizing Liquid Toxic,A4140,5.1|6.1,H5.1|H6.1,Liquid,0.048,US,CA,D9,,,,
BB,Y35,Corrosive Solid Basic Inorganic - Calcium Hydroxide,A4140,8,H8,Solid,0.156,US,CA,D9,,,,
BB,Y34,Corrosive Acidic Inorganic Liquid - Acids,A4140,8,H8,Liquid,0.999,US,CA,D9,,,,
BB,Y35,Various Basic Liquids,A4140,8,H8,Liquid,0.318,US,CA,D9,,,,
BB,"Y21,Y25,Y26,Y31",Poisonous Solids,A4140,6.1,H6.1,Solid,1.527,US,CA,D9,,,,
BB,Y29,Mercury,A4140,8,H8,Liquid,0.135,US,CA,,R13,,,
BB,Y6,Acetone,A3160,3,H3,Liquid,0.785,BS,CA,D9,,,,
BB,Y37,Waste Bromard (with Bitrex),A4150,6.1,H6.1,Paste,0.15,BS,CA,D9,,,,
BB,Y37,Waste Bromatrol Control Dust,A4150,6.1,H6.1,Solid (Powder),1.0,BS,CA,D9,,,,
BB,Y6,Waste Butanols,A3160,3,H3,Liquid,0.81,BS,CA,D9,,,,
BB,Y41,Waste Dichloromethane,A3150,6.1,H6.1,Liquid,1.33,BS,CA,D9,,,,
