"Country of 
Export",Ycode,"Waste 
streams",Annex VIII,"UN
class",H                                    Code,Characteristics,"Amount 
exported
(in metric tons)","Country
of  Transit","Country of 
destination","D
code","R
code",Column 13
AT,Y12,waste from PFU of paints,A4070,3.0,H3,waste paint,102.1,,DE,D10, ,
AT,Y13,wastes from PFU of resins,A3050,,H13,softener,20.1,,DE,D10, ,
AT,Y14,waste chemicals,A4140,,H13,used quick tests,24.7,,DE, ,R4,
AT,Y14,waste chemicals,A4130,2.0,H6.1,gas cylinders,1.5,,DE,D10, ,
AT,Y16,waste from PFU of photochemicals,,,H12,mixtures,1286.9,,DE, ,R5,
AT,Y17,waste from surface treatment,A1050,,H11,galvanic sludge,1840.4,,DE, ,R5,
AT,Y17,waste from surface treatment,A1050,,H11,galvanic sludge,3304.3,,DE, ,R4,
AT,Y17,waste from surface treatment,A1050,,H13,galvanic sludge,34.3,,DE, ,R4,
AT,Y17,waste from surface treatment,A1050,,H13,galvanic sludge,43.0,,DE, ,R4,
AT,Y17,waste from surface treatment,A1050,,H11,galvanic sludge,1551.0,,DE, ,R5,
AT,Y17,waste from surface treatment,A1050,,H12,galvanic sludge,0.7,,DE, ,R4,
AT,Y17,wastes from surface treatment,,5.1,H8,hardening salts,65.7,,DE,D12, ,
AT,Y17,wastes from surface treatment,A1130,6.1,H6.1,etching solutions,19.2,DE,BE, ,R4,
AT,Y17,wastes from surface treatment,A1130,6.1,H6.1,etching solutions,42.1,"DE,LU",BE, ,R4,
AT,Y17,wastes from surface treatment,,8.0,H8,soldering solution,44.5,,DE, ,R4,
AT,Y17,wastes from surface treatment,,,H13,abrasive slurry,136.3,,DE, ,R4,
AT,Y17,waste from surface treatment,,,,blasting sand,391.8,,DE, ,R4,
AT,Y17,waste from surface treatment,,,,metal sludge,1154.5,HU,SK, ,R4,
AT,Y18,residues from waste treatment,,,,RDF,22009.6,,CH, ,R1,
AT,Y18,residues from waste treatment,,,,RFD,62.0,,CZ, ,R1,
AT,Y18,residues from waste treatment,,,,RFD,2354.8,,CZ, ,R1,
AT,Y18,residues from waste treatment,,,,sludge from paper mills,23693.0,,CZ, ,R5,
AT,Y18,residues from waste treatment,,,,rejects,1259.4,CZ,DE, ,R3 ,
AT,Y18,residues from waste treatment,,,,rejects,3798.7,,DE, ,R3 ,
AT,Y18,residues from waste treatment,A4100,,,fly ash from waste incineration,6936.2,,DE, ,R5,
AT,Y18,residues from waste treatment,,,,scrap from shredding,3703.4,,DE, ,R4,
AT,Y18,residues from waste treatment,,,,scrap from shredding,230.0,,DE, ,R4,
AT,Y18,residues from waste treatment,,,,scrap from shredding,36.3,,DE, ,R4,
AT,Y18,residues from waste treatment,,,,scrap from shredding,1478.5,,DE, ,R12,
AT,Y18,residues from waste treatment,,,,fire extinguishers,17.0,,DE, ,R5,
AT,Y18,residues from waste treatment,,,,rubber from shredding,469.1,,DE, ,R12,
AT,Y18,residues from waste treatment,,,,residues from shredding,1010.2,,DE, ,R3 ,
AT,Y18,residues from waste treatment,,,,residues from shredding,7357.8,,DE, ,R4,
AT,Y18,residues from waste treatment,,,,residues from shredding,7105.4,,DE, ,R4,
AT,Y18,residues from waste treatment,,,,mixed wastes,473.2,,DE, ,R3 ,
AT,Y18,residues from waste treatment,,,,mixed wastes,49.5,,DE, ,R12,
AT,Y18,residues from waste treatment,,,,mixed wastes,1128.5,CZ,DE, ,R12,
AT,Y18,residues from waste treatment,,,,RDF,4837.2,,DE, ,R12,
AT,Y18,residues from waste treatment,,,,RDF,3449.8,,DE, ,R1,
AT,Y18,residues from waste treatment,,,,mixed waste from construction,199.4,,DE,D10, ,
AT,Y18,residues from waste treatment,,,,mixed waste from construction,339.3,,DE, ,R3,
AT,Y18,residues from waste treatment,,,,sewer sludge,2465.3,,DE, ,R3,
AT,Y18,residues from waste treatment,,,,sewer sludge,1491.9,,DE,D10, ,
AT,Y18,residues from waste treatment,,,,sewer sludge,37.8,,DE,D13, ,
AT,Y18,residues from waste treatment,,,,sludge from paper mills,1440.5,,DE, ,R3,
AT,Y18,residues from waste treatment,,,,sewer sludge,4841.6,,DE, ,R1,
AT,Y18,residues from waste treatment,,,,RDF,13864.1,,HU, ,R1,
AT,Y18,residues from waste treatment,,,,RDF,965.9,,HU, ,R1,
AT,Y18,residues from waste treatment,,,,RDF,2116.5,,HU, ,R1,
AT,Y18,residues from waste treatment,,,,RDF,26167.1,,HU, ,R1,
AT,Y18,residues from waste treatment,B3020,,,waste paper,5284.0,DE,PL, ,R3 ,
AT,Y18,residues from waste treatment,B1010,,,aluminium scrap,301.7,DE,PL, ,R4,
AT,Y18,residues from waste treatment,,,,RDF,87.5,,SI, ,R1,
AT,Y18,residues from waste treatment,,,,RDF,4426.7,,SI, ,R1,
AT,Y18,residues from waste treatment,B3020,,,waste paper,23.2,,SK, ,R3 ,
AT,Y18,residues from waste treatment,,,,RDF,11454.7,,SK, ,R1,
AT,Y18,residues from waste treatment,,,,RDF,33742.0,,SK, ,R12,
AT,Y18,residues from waste treatment,,,,RDF,86313.5,,SK, ,R1,
AT,Y18,residues from waste treatment,,4.3,H4.3,salt slag,29710.5,,DE, ,R4,
AT,Y18,residues from waste treatment,,4.3,H4.3,salt slag,15780.8,DE,FR, ,R4,
AT,Y18,residues from waste treatment,,4.3,H4.3,salt slag,86.9,,DE, ,R4,
AT,Y18,residues from waste treatment,A4100,6.1,H6.1,filter dust,1289.8,,DE, ,R5,
AT,Y18,residues from waste treatment,,,H13,slag from waste incineration,141.5,,DE, ,R5,
AT,Y18,residues from waste treatment,A4100,,H13,residues from flue gas claening,336.9,,DE, ,R5,
AT,Y18,residues from waste treatment,A4100,6.1,H6.1,residues from flue gas claening,1414.9,,DE,D12, ,
AT,Y18,residues from waste treatment,A4100,,H11,ashes from oil incineration,334.7,,DE, ,R4,
AT,Y18,residues from waste treatment,,,H8,"soil from site, Ycleaning",201.7,,DE, ,R5,
AT,Y18,residues from waste treatment,,,H13,"soil from site, Ycleaning",620.5,,DE, ,R5,
AT,Y18,residues from waste treatment,A2010,,H11,"glass from x, Yray tubes",534.5,,DE, ,R5,
AT,Y18,residues from waste treatment,,,H13,lime sludge,213.2,,DE, ,R12,
AT,Y18,residues from waste treatment,,,H12,"sludges from c/p, Ytreatment",853.2,"SK,PL",FI, ,R4,
AT,Y18,residues from waste treatment,,,H13,concentrates,2111.4,,DE,D10, ,
AT,Y18,residues from waste treatment,A4020,,H12,collected pharamceuticals,186.4,,CH,D10, ,
AT,Y18,residues from waste treatment,,,H12,oil containing sludge,4484.7,,DE, ,R1,
AT,Y18,residues from waste treatment,,,H13,grid chamber content,1112.6,,DE, ,R5,
AT,Y18,residues from waste treatment,,4.1,H4.1,mixed waste from craft shops,185.6,,DE,D10, ,
AT,Y18,residues from waste treatment,,,H13,residues from shredding,2802.7,,CH,D10, ,
AT,Y18,residues from waste treatment,,,H13,residues from shredding,5853.9,,DE, ,R12,
AT,Y18,residues from waste treatment,,,H13,residues from shredding,1687.6,,DE,D10, ,
AT,Y18,residues from waste treatment,,,H13,aluminium oxides,799.4,,DE, ,R5,
AT,Y18,residues from waste treatment,,4.1,H4.1,mixed wastes,49.2,,SK, ,R1,
AT,Y18,residues from waste treatment,,4.1,H4.1,mixed wastes,1042.0,,DE,D10, ,
AT,Y18,residues from waste treatment,,,H13,sludge from waste water treatment,50.9,,DE, ,R10,
AT,Y18,residues from waste treatment,,,H13,sludge from waste water treatment,1170.7,,DE, ,R12,
AT,Y18,residues from waste treatment,,,H13,sludge from waste water treatment,2989.4,,DE, ,R12,
AT,Y18,residues from waste treatment,,,H13,sludge from waste water treatment,2027.3,,DE, ,R5,
AT,Y21,Cr(VI) containing wastes,A4070,,H11,pigments,33.2,,DE,D12, ,
AT,Y22,Cu containing wastes,,,H13,slags,2972.2,,SK, ,R4,
AT,Y22,Cu containing wastes,A1100,6.1,H6.1,filter dust,2361.3,DE,BE, ,R4,
AT,Y22,Cu containing wastes,A1100,6.1,H6.1,filter dust,20.8,,DE, ,R4,
AT,Y22,Cu containing wastes,,,H13,metall sludge,335.6,DE,BE, ,R4,
AT,Y22,Cu containing wastes,,,H11,metall sludge,61.0,,DE, ,R4,
AT,Y22,Cu containing wastes,,,H11,metall sludge,1623.0,,SK, ,R4,
AT,Y22,Cu containing wastes,A1130,8.0,H8,etching solutions,247.4,,DE, ,R4,
AT,Y22,Cu containing wastes,A1050,,,galvanic sludge,1349.1,,DE, ,R4,
AT,Y23,Zn containing wastes,,,,blast furnace gas dust,1178.6,,DE, ,R4,
AT,Y23,Zn containing wastes,A1080,,H13,filter dust,52.4,,DE, ,R4,
AT,Y23,Zn containing wastes,A1080,,H11,ZnO,91.7,,DE, ,R4,
AT,Y23,Zn containing wastes,A4100,6.1,H6.1,steel mill dust,7286.3,,DE, ,R4,
AT,Y23,Zn containing wastes,A4100,,H13,steel mill dust,87458.0,,DE, ,R4,
AT,Y23,Zn containing wastes,A4100,,H13,steel mill dust,1086.7,CZ,PL, ,R4,
AT,Y23,Zn containing wastes,A4100,,H13,filter dust,54.6,,DE, ,R4,
AT,Y23,Zn containing wastes,A4090,8.0,H8,pickling solution,1587.5,,DE, ,R4,
AT,Y23,Zn containing wastes,A1180,,H13,electronic equipment,14.6,,DE, ,R4,
AT,Y23,Zn containing wastes,A1170,,H13,batteries,43.0,DE,FR, ,R4,
AT,Y23,Zn containing wastes,A1170,,H13,batteries,442.1,,DE, ,R4,
AT,Y23,Zn containing wastes,A1170,,H13,batteries,55.2,,DE, ,R4,
AT,Y23,Zn containing wastes,A1170,,H13,batteries,212.6,,DE, ,R4,
AT,Y23,Zn containing wastes,A1170,,H13,batteries,422.6,,DE, ,R12,
AT,Y26,Cd containing wastes,A1170,8.0,H11,"NiCd, Ybatteries",74.3,,DE, ,R4,
AT,Y26,Cd containing wastes,A1170,8.0,H11,"NiCd, Ybatteries",23.6,,DE, ,R12,
AT,Y26,Cd containing wastes,A1170,8.0,H11,"NiCd, Ybatteries",320.1,DE,FR, ,R12,
AT,Y29,Hg containing wastes,A1170,8.0,H6.1,round cells,0.8,CZ,DE, ,R4,
AT,Y29,Hg containing wastes,A1170,8.0,H6.1,round cells,0.8,,DE, ,R4,
AT,Y29,Hg containing wastes,A1170,8.0,H12,amalgam waste,0.6,,DE, ,R4,
AT,Y31,Pb containing wastes,A2010,,H11,"x, Yray tubes",582.2,,CH, ,R5,
AT,Y31,Pb containing wastes,A2010,,H11,lead glass,386.0,,DE, ,R5,
AT,Y31,Pb containing wastes,A2010,,H11,lead glass,632.6,,DE, ,R5,
AT,Y31,Pb containing wastes,A2010,,H11,lead glass,35.9,,DE,D9, ,
AT,Y31,Pb containing wastes,A2010,,H12, ceramics,50.5,,DE, ,R4,
AT,Y31,Pb containing wastes,,,H11,lead containing sludge,75.1,,DE, ,R4,
AT,Y31,Pb containing wastes,A2010,,H11,"x, Yray tubes",3208.1,CZ,DE, ,R5,
AT,Y31,Pb containing wastes,A1160,8.0,H11,lead acid batteries,156.6,,DE, ,R12,
AT,Y31,Pb containing wastes,A1160,8.0,H11,lead acid batteries,1638.4,,DE, ,R4,
AT,Y31,Pb containing wastes,,,H12,waste water treatment sludge,34.4,,DE, ,R4,
AT,Y31,Pb containing wastes,A2010,,H11,monitors,61.0,CZ,PL, ,R4,
AT,Y33,inorganic cyanides,A4050,6.1,H6.1,cyanide salts,9.2,,DE,D12, ,
AT,Y34,acids,A4090,8.0,H8,sulfuric acid,357.6,DE,BE, ,R6,
AT,Y34,acids,A4090,8.0,H8,pickling acid,948.9,,DE, ,R4,
AT,Y34,acids,A4090,8.0,H8,oil containing acid,87.7,,DE, ,R5,
AT,Y36,asbestos containing wastes,A1180,,H11,electrical equipment,37.2,,DE, ,R4,
AT,Y36,asbestos containing wastes,A2050,2.0,H3,gas cylinders,66.9,,DE, ,R4,
AT,Y39,phenoles,A3070,6.1,6.1,chlorophenoles,73.2,,DE, ,R5,
AT,Y41,halogenated solvents,A3150,6.1,H6.1,dichloromethane,14.8,DE,NL, ,R2,
AT,Y41,halogenated solvents,A3150,6.1,H6.1,tetrachloroethene,9.6,,DE, ,R13,
AT,Y41,halogenated solvents,A3150,6.1,H6.1,tetrachloroethene,35.4,,DE, ,R2,
AT,Y41,halogenated solvents,A3150,6.1,H6.1,solvent mixtures,11.4,,DE, ,R2,
AT,Y41,halogenated solvents,A3150,3.0,H3,solvent mixtures,23.8,,DE,D10, ,
AT,Y41,halogenated solvents,A3150,3.0,H3,solvent mixtures,5132.6,,DE,D10, ,
AT,Y41,halogenated solvents,A3150,3.0,H3,solvent containing sludge,50.6,DE,BE, ,R2,
AT,Y42,solvents,A3140,3.0,H3,solvent containing sludge,12.6,DE,BE, ,R2,
AT,Y42,solvents,A3140,3.0,H3,solvent mixtures,8.4, ,CH, ,R13,
AT,Y42,solvents,A3140,3.0,H3,solvent mixtures,1441.8,CZ,DE, ,R3,
AT,Y42,solvents,A3140,3.0,H3,solvent mixtures,4327.7,,DE,D10, ,
AT,Y42,solvents,A3140,3.0,H3,solvent mixtures,128.5,,DE, ,R1,
AT,Y42,solvents,A3140,3.0,H3,solvent containing metal sludge,0.4,,DE, ,R4,
AT,Y42,solvents,,4.1,H4.1,solvent contaminated paper,12.6,,DE, ,R4,
AT,Y45,other halogenated compounds,A4140,2.0,H12,CFCs,90.6,,DE,D10, ,
AT,Y45,other halogenated compounds,A4140,2.0,H12,CFCs,41.5,,DE, ,R3,
AT,Y45,other halogenated compounds,A4030,3.0,H3,production residues,120.0,,DE, ,R5,
AT,Y47,residues from waste combustion,A4100,,H13,fly ash,1238.9,,DE,D12, ,
AT,Y47,residues from waste combustion,A4100,,H13,fly ash,1193.8,,DE,D14, ,
AT,Y47,residues from waste combustion,A4100,,H13,flue gas cleaning residues,1359.4,,DE,D14, ,
AT,Y47,residues from waste combustion,A4100,,H13,fly ash,10087.8,,DE, ,R5,
AT,Y47,residues from waste combustion,A4100,,H13,fly ash,2525.8,,DE, ,R5,
AT,Y47,residues from waste combustion,,,,slag,215.2,,DE, ,R5,
AT,Y46,wastes collected from households,,,,partly sorted wastes,478.7,DE,CH,D10, ,
AT,Y46,wastes collected from households,,,,partly sorted wastes,59305.1,,CH,D10, ,
AT,Y46,wastes collected from households,,,,mixed waste,2282.1,,CH,D10, ,
AT,Y46,wastes collected from households,,,,sorted wastes/RDF,54.0,,CZ, ,R1,
AT,Y46,wastes collected from households,,,,sorted wastes/RDF,3009.4,,HU, ,R1,
AT,Y46,wastes collected from households,,,,mixed waste,21403.4,,DE,D10, ,
AT,Y46,wastes collected from households,,,,packaging wastes/light fraction,2822.4,,DE, ,R3,
AT,Y46,wastes collected from households,,,,bulky wastes,430.8,,DE, ,R3,
AT,Y46,wastes collected from households,,,,bulky wastes,130.3,,DE, ,R4,
AT,Y46,wastes collected from households,,,,bulky wastes,133.5,,DE, ,R3,
AT,Y46,wastes collected from households,,,,biodegradable wastes,1961.8,,DE, ,R3,
AU,"Y25, Y31",Precious metal bearing sweeps,A1020,"6.1, 8","H6.1, H8",,7.0,,BE,,R4,
AU,Y26,used nickel cadmium batteries,A1170,6.1,H6.1,,120.0,,KR,,R4,
AU,Y26,used nickel cadmium batteries,A1170,6.1,H6.1,,290.0,,SG,,R4,
AU,"Y27, Y29, Y31",Waste electrical and electronic equipment and assemblies,A1180,"6.1, 8","H6.1, H11, H12",,3600.0,,SG,,R4,
AU,"Y27, Y29,Y31",Waste electrical and electronic scrap,A1180,9.0,"H6.1, H11, H12",,2500.0,,TH,,R_,
AU,Y31,Leaded antiknock compound sludge,A1020,"6.1, 8","H6.1,H8",,300.0,,GB,,R4,
AU,Y31,Lead solder dross,A1020,"6.1, 8","H6.1, H8",,40.0,,BE,,R4,
AU,Y32,Spent Pot Linings,A4050,"4.3, 9","H4.3, H11, H12",,14000.0,,GB,,R5,
AU,Y42,used lithium batteries,A1170,9.0,H10,,80.0,,KR,,R4,
AZ,Y_,Other paper wastes and sheets for recycling ,,4707.0,H4.1,,62.0,,TR,,R11,*
AZ,Y17,Wastes of ethylene polymers,,3915.0,H4  ,,159.0,,CN,,R11,
AZ,Y36,Asbestos,,2524.0,H11,,20.0,,RU,,R11,
BE,Y1,,,,,,897.16,,NL,,R3,*
BE,Y1,,,,,,15.916,,NL,,R4,
BE,Y1,,,,,,97.378,,DE,D10,,
BE,Y1,,,,,,104.3,,DE,D10,,
BE,Y1,,,,,,420.157,,FR,D10,,
BE,Y1,,,,,,156.15,,FR,,R12,
BE,Y2,,,,,,51.36,,NL,D8, ,
BE,Y2,,,,,,64.18,,DE,,R5,
BE,Y2,,,,,,54.49,,NL,D8, ,
BE,Y5,,,,,,2823.205,,DE,,R1,
BE,Y5,,,,,,421.805,,DE,,R1,
BE,Y5,,,,,,232.107,,DE,,R1,
BE,Y5,,,,,,9632.014229000008,,DE,,R1,
BE,Y5,,,,,,12182.819414000001,,DE,,R3,
BE,Y5,,,,,,85.725,,DE,,R12,
BE,Y5,,,,,,5202.84897,,NL,,R1,
BE,Y5,,,,,,37072.810644000034,,NL,,R3,
BE,Y5,,,,,,2060.4786430000004,,NL,,R12,
BE,Y5,,,,,,3241.9250939999997,,NL,,R13,
BE,Y5,,,,,,171.003,,DE,,R1,
BE,Y6,,,,,,57.22,,DE,,R1,
BE,Y6,,,,,,45.0,,DE,,R2,
BE,Y6,,,,,,28.78,,DE,,R3,
BE,Y6,,,,,,209.42,,FR,,R13,
BE,Y6,,,,,,193.92,,NL,,R13,
BE,Y6,,,,,,37.64,,DE,,R12,
BE,Y6,,,,,,1758.3960000000002,,DE,,R2,
BE,Y6,,,,,,4387.726282,,FR,,R2,
BE,Y6,,,,,,207.14,,FR,,R2,
BE,Y6,,,,,,121.02,,FR,,R2,
BE,Y6,,,,,,3301.981276,,FR,,R12,
BE,Y6,,,,,,42.87,,FR,D10, ,
BE,Y6,,,,,,2415.548304,,NL,,R1,
BE,Y6,,,,,,2278.931959,,NL,,R2,
BE,Y6,,,,,,22.04,,NL,,R9,
BE,Y6,,,,,,412.1,,NL,,R13,
BE,Y6,,,,,,197.0,,SE,,R1,
BE,Y6,,,,,,28.0,,NL,,R8,
BE,Y6,,,,,,580.6465,,DE,,R1,
BE,Y6,,,,,,193.226,,DE,D10, ,
BE,Y6,,,,,,98.76,,FR,,R2,
BE,Y6,,,,,,120.0,,FR,D10, ,
BE,Y6,,,,,,42.5,,DE,D10,,
BE,Y6,,,,,,159.7,,DE,,R2,
BE,Y6,,,,,,339.8,,FR,,R1,
BE,Y6,,,,,,745.8,,FR,,R2,
BE,Y6,,,,,,1349.8,,FR,,R12,
BE,Y8,,,,,,9636.102687999999,,DE,,R9,
BE,Y8,,,,,,11322.909722999999,,DE,,R13,
BE,Y8,,,,,,100.0,,DE,,R3,
BE,Y8,,,,,,1898.48804,,FR,,R1,
BE,Y8,,,,,,1143.04,,FR,,R9,
BE,Y8,,,,,,10709.221043,,NL,,R12,
BE,Y8,,,,,,1015.488,,NL,,R12,
BE,Y8,,,,,,45.58,,NL,,R9,
BE,Y8,,,,,,6759.898456,,NL,,R12,
BE,Y8,,,,,,332.023333,,NL,,R3,
BE,Y8,,,,,,4363.099712,,NL,,R12,
BE,Y8,,,,,,9.74,,LU,,R9,
BE,Y9,,,,,,244.14,,DE,,R1,
BE,Y9,,,,,,783.673331,,DE,D10, ,
BE,Y9,,,,,,257.6028,,DE,D15, ,
BE,Y9,,,,,,18.82,,FR,,R1,
BE,Y9,,,,,,421.4,,NL,,R2,
BE,Y9,,,,,,1055.735,,NL,,R12,
BE,Y9,,,,,,8634.777904999999,,NL,D10, ,
BE,Y9,,,,,,3340.0,,FR,D10, ,
BE,Y9,,,,,,1477.1590689999998,,NL,,R9,
BE,Y9,,,,,,10402.825999,,NL,,R12,
BE,Y9,,,,,,196.42,,FR,,R1,
BE,Y9,,,,,,11844.351751,,FR,,R1,
BE,Y9,,,,,,2863.817597,,NL,,R2,
BE,Y9,,,,,,6005.233572,,NL,,R9,
BE,Y9,,,,,,675.718,,NL,D8, ,
BE,Y9,,,,,,2.8,,LU,D9,,
BE,Y9,,,,,,46.74,,LU,,R9,
BE,Y9,,,,,,12.8,,LU,,R12,
BE,Y10,,,,,,4623.078233,,NL,,R12,
BE,Y10,,,,,,32.86,,FR,D10, ,
BE,Y10,,,,,,67.96,,NL,D14, ,
BE,Y10,,,,,,373.960416,,NL,D14, ,
BE,Y12,,,,,,123.08,,DE,,R4,
BE,Y12,,,,,,305.26,,DE,,R4,
BE,Y12,,,,,,895.0,,DE,,R4,
BE,Y12,,,,,,481.714144,,FR,,R12,
BE,Y12,,,,,,86.0,,DE,,R1,
BE,Y12,,,,,,550.860806,,DE,,R3,
BE,Y12,,,,,,1493.2866640000002,,DE,,R12,
BE,Y12,,,,,,57.8,,DE,,R2,
BE,Y12,,,,,,51.9,,NL,,R12,
BE,Y13,,,,,,19.88,,NL,,R1,
BE,Y13,,,,,,0.5,,NL,,R4,
BE,Y14,,,,,,4.0,,DE,,R3,
BE,Y14,,,,,,309.2,,DE,,R4,
BE,Y14,,,,,,17.8,,FR,D10,,
BE,Y14,,,,,,39.2,,US,,R3,
BE,Y15,,,,,,41.3188,,NL,D15, ,
BE,Y15,,,,,,110.4,,DE,D10, ,
BE,Y16,,,,,,1125.7214809999998,,DE,,R11,
BE,Y16,,,,,,1245.099561,,GB,,R4,
BE,Y16,,,,,,27.632776999999997,,NL,,R4,
BE,Y16,,,,,,1106.173029,,FR,,R2,
BE,Y16,,,,,,1014.75,,NL,,R4,
BE,Y16,,,,,,228.3,,NL,,R7,
BE,Y17,,,,,,40.63,,DE,,R12,
BE,Y17,,,,,,19564.661,,DE,,R4,
BE,Y17,,,,,,66.08,,DE,,R4,
BE,Y17,,,,,,15611.29,,DE,,R12,
BE,Y17,,,,,,49.64,,FR,,R4,
BE,Y17,,,,,,307.8,,FR,,R4,
BE,Y17,,,,,,17726.789289,,FR,,R4,
BE,Y17,,,,,,9737.626,,FR,,R4,
BE,Y17,,,,,,1331.992352,,LU,D10, ,
BE,Y17,,,,,,11550.48,,NL,,R4,
BE,Y17,,,,,,8984.18601,,NL,,R5,
BE,Y17,,,,,,92.9,,NL,,R12,
BE,Y17,,,,,,4.7188,,DE,,R4,
BE,Y17,,,,,,34.38,,DE,,R4,
BE,Y17,,,,,,460.93944400000004,,DE,,R4,
BE,Y17,,,,,,550.0,,DE,,R4,
BE,Y17,,,,,,74.2,,DE,,R4,
BE,Y17,,,,,,123.9,,DE,,R5,
BE,Y17,,,,,,683.605161,,DE,,R6,
BE,Y17,,,,,,2546.021,,FR,,R4,
BE,Y17,,,,,,215.8875,,FR,,R5,
BE,Y17,,,,,,499.827333,,FR,,R6,
BE,Y17,,,,,,190.134,,NL,,R4,
BE,Y17,,,,,,1811.4278980000001,,NL,,R5,
BE,Y17,,,,,,1348.1,,DE,,R4,
BE,Y17,,,,,,1633.5,,DE,,R5,
BE,Y17,,,,,,13724.25,,FR,,R4,
BE,Y17,,,,,,42.4,,NL,,R4,
BE,Y17,,,,,,51.3,,NL,,R5,
BE,Y18,,,,,,115.72425,,DE,,R4,
